SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1970,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1970,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1970,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1970,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1970,3385000000.0
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1971,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1971,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1971,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1971,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1971,3528012971.99676
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1972,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1972,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1972,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1972,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1972,4207929289.32987
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1973,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1973,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1973,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1973,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1973,6060153232.77878
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1974,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1974,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1974,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1974,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1974,7983966106.25461
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1975,0.07870401453
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1975,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1975,111612059107.877
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1975,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1975,7398371421.3895
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1976,0.11386039726
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1976,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1976,146582843116.739
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1976,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1976,8063000000.0
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1977,0.17916685759
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1977,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1977,160247975839.756
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1977,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1977,9107000000.0
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1978,0.25702655012
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1978,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1978,169663438950.644
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1978,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1978,10892000000.0
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1979,0.39715623649
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1979,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1979,194845045833.65
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1979,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1979,13855967963.0403
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1980,0.8045739125
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1980,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1980,213619936331.325
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1980,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1980,20912738001.46
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1981,1.6627487157
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1981,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1981,273121450017.602
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1981,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1981,20920405206.5247
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1982,2.8107020654
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1982,181635605250.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1982,305457938524.864
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1982,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1982,20782431265.4367
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1983,5.67847013200001
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1983,199593754670.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1983,345595837559.614
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1983,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1983,22877564824.8427
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1984,22.1238790985
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1984,253992906930.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1984,398345545867.053
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1984,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1984,25211231910.0216
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1985,95.9800412696
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1985,321002714700.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1985,477969166163.51
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1985,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1985,29362974224.972
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1986,228.0087301953
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1986,365761309300.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1986,502652258387.018
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1986,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1986,32647894604.7612
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1987,914.9911381641
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1987,453305993430.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1987,614537641181.877
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1987,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1987,35377317540.3541
