SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1970,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1970,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1970,203968860382.873
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1970,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1970,126639955845.28
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1971,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1971,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1971,206028263314.879
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1971,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1971,132166753353.164
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1972,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1972,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1972,205371870923.625
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1972,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1972,134723235233.077
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1973,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1973,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1973,214719259478.097
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1973,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1973,139861192912.34
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1974,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1974,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1974,217211746049.692
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1974,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1974,147378762932.332
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1975,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1975,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1975,236770434793.857
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1975,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1975,150335693838.417
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1976,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1976,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1976,239729839664.384
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1976,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1976,154647622967.104
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1977,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1977,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1977,257637397032.616
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1977,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1977,154617575632.261
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1978,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1978,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1978,271814119297.299
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1978,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1978,159024700180.879
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1979,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1979,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1979,257675742979.872
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1979,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1979,165255561375.64
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1980,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1980,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1980,276151459899.862
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1980,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1980,175416340810.202
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1981,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1981,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1981,291686425828.484
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1981,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1981,184203820463.67
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1982,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1982,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1982,300216531815.66
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1982,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1982,182947295552.076
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1983,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1983,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1983,323794861236.14
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1983,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1983,178959058166.922
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1984,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1984,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1984,336621101702.12
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1984,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1984,188328909801.155
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1985,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1985,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1985,350630382449.887
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1985,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1985,187643011093.978
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1986,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1986,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1986,365759377283.866
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1986,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1986,187661312652.473
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1987,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1987,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1987,378686894293.634
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1987,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1987,190599942000.064
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Brazil,BRA,1988,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,China,CHN,1988,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,India,IND,1988,417161254047.406
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,Russian Federation,RUS,1988,0.0
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD,South Africa,ZAF,1988,197838754699.993
