SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Brazil,BRA,1970,68.5536321626935
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,China,CHN,1970,52.9367899284994
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,India,IND,1970,79.684667924157
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Russian Federation,RUS,1970,0.0
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,South Africa,ZAF,1970,58.8020674977197
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Brazil,BRA,1971,69.5841182311527
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,China,CHN,1971,51.365541943099
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,India,IND,1971,80.2796138301151
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Russian Federation,RUS,1971,0.0
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,South Africa,ZAF,1971,59.5956817712989
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Brazil,BRA,1972,69.6611542481006
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,China,CHN,1972,52.2723711017082
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,India,IND,1972,80.272939478237
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Russian Federation,RUS,1972,0.0
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,South Africa,ZAF,1972,58.9535875258862
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Brazil,BRA,1973,67.5404244851793
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,China,CHN,1973,51.9737319497859
