SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Brazil,BRA,1970,3.5992819
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,China,CHN,1970,1.6102769
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,India,IND,1970,2.4661305
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Russian Federation,RUS,1970,3.9
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,South Africa,ZAF,1970,5.0397647
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Brazil,BRA,1971,3.5992819
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,China,CHN,1971,1.4
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,India,IND,1971,2.2
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Russian Federation,RUS,1971,3.9
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,South Africa,ZAF,1971,5.0397647
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Brazil,BRA,1972,3.5992819
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,China,CHN,1972,1.5
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,India,IND,1972,2.4
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Russian Federation,RUS,1972,3.9
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,South Africa,ZAF,1972,5.0397647
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Brazil,BRA,1973,3.0
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,China,CHN,1973,1.5
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,India,IND,1973,2.4
