SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,1970,7.44975914768755
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,1970,2.46085011185682
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India,IND,1970,3.87894427592481
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Russian Federation,RUS,1970,0.0
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,1970,24.6351474612344
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,1971,8.13797343242644
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,1971,2.13276893646465
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India,IND,1971,4.00240134139237
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Russian Federation,RUS,1971,0.0
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,1971,25.352403218043
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,1972,8.844075564518
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,1972,2.5074439742987
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India,IND,1972,3.70891033572639
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Russian Federation,RUS,1972,0.0
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,1972,22.1707881593373
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,1973,9.50158099803278
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,1973,3.75879834554822
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India,IND,1973,4.72333282643708
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Russian Federation,RUS,1973,0.0
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,1973,22.1003443187408
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,1974,13.8837280806904
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,1974,5.4036849736535
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India,IND,1974,6.02056925037022
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Russian Federation,RUS,1974,0.0
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,1974,27.7089164334266
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,1975,11.5055803106496
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,1975,4.8494818226682
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India,IND,1975,6.64691605611397
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Russian Federation,RUS,1975,0.0
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,1975,29.2343716738806
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,1976,9.43261782257726
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,1976,4.32644047380044
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India,IND,1976,6.11469021104386
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Russian Federation,RUS,1976,0.0
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,1976,28.0687423418895
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,1977,7.91774763658594
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,1977,4.08615384615385
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India,IND,1977,6.26492932389808
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Russian Federation,RUS,1977,0.0
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,1977,24.4504795043707
