SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1970,34079090958.8888
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1970,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1970,479166324285.21
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1970,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1970,225663000000.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1971,42427465580.2601
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1971,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1971,565552745973.83
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1971,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1971,248426000000.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1972,50924422865.6904
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1972,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1972,554872770402.78
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1972,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1972,217239000000.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1973,61313877973.8321
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1973,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1973,599679278899.72
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1973,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1973,241649000000.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1974,78781336247.4525
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1974,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1974,523171681311.52
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1974,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1974,287588000000.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1975,75216673329.1038
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1975,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1975,529865460399.01
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1975,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1975,278133000000.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1976,74281872265.2659
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1976,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1976,539912872272.17
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1976,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1976,250313000000.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1977,68656617394.1119
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1977,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1977,687825316160.07
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1977,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1977,216078000000.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1978,71802278418.5515
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1978,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1978,688163339790.43
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1978,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1978,216273000000.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1979,77695649019.5675
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1979,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1979,821122260695.71
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1979,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1979,214198000000.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1980,78221439962.8345
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1980,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1980,938987776270.17
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1980,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,South Africa,ZAF,1980,255058000000.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Brazil,BRA,1981,68555519963.3301
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,China,CHN,1981,0.0
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,India,IND,1981,1033162808023.77
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Russian Federation,RUS,1981,0.0
