SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Brazil,BRA,1970,0.005264
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,China,CHN,1970,5610000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,India,IND,1970,18160000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Russian Federation,RUS,1970,0.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,South Africa,ZAF,1970,3241000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Brazil,BRA,1971,0.0076959999
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,China,CHN,1971,5240000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,India,IND,1971,20060000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Russian Federation,RUS,1971,0.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,South Africa,ZAF,1971,3687000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Brazil,BRA,1972,0.0111659998
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,China,CHN,1972,6400000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,India,IND,1972,20490000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Russian Federation,RUS,1972,0.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,South Africa,ZAF,1972,3640000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Brazil,BRA,1973,0.0167720001
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,China,CHN,1973,10360000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,India,IND,1973,31760000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Russian Federation,RUS,1973,0.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,South Africa,ZAF,1973,4493000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Brazil,BRA,1974,0.0360229984
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,China,CHN,1974,15280000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,India,IND,1974,47790000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Russian Federation,RUS,1974,0.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,South Africa,ZAF,1974,6930000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Brazil,BRA,1975,0.0420430005
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,China,CHN,1975,14740000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,India,IND,1975,56640000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Russian Federation,RUS,1975,0.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,South Africa,ZAF,1975,8240000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Brazil,BRA,1976,0.0558659993
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,China,CHN,1976,12930000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,India,IND,1976,56140000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Russian Federation,RUS,1976,0.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,South Africa,ZAF,1976,8934000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Brazil,BRA,1977,0.0717070028
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,China,CHN,1977,13280000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,India,IND,1977,65170000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Russian Federation,RUS,1977,0.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,South Africa,ZAF,1977,8643000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Brazil,BRA,1978,0.1037150025
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,China,CHN,1978,18740000000.0
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,India,IND,1978,74230000000.0
