SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Brazil,BRA,1970,32.1836943042848
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,China,CHN,1970,40.2728429179278
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,India,IND,1970,21.7293092920945
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Russian Federation,RUS,1970,0.0
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,South Africa,ZAF,1970,36.1432046214655
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Brazil,BRA,1971,32.7221394805183
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,China,CHN,1971,41.918678008873
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,India,IND,1971,22.392007907235
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Russian Federation,RUS,1971,0.0
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,South Africa,ZAF,1971,34.5664580898027
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Brazil,BRA,1972,32.7411376610944
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,China,CHN,1972,42.7675912866322
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,India,IND,1972,22.4080025883951
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Russian Federation,RUS,1972,0.0
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,South Africa,ZAF,1972,35.8143501035449
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Brazil,BRA,1973,33.4220882134978
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,China,CHN,1973,42.8234525796386
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,India,IND,1973,21.3482302907461
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Russian Federation,RUS,1973,0.0
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,South Africa,ZAF,1973,37.7520905066404
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Brazil,BRA,1974,34.818586992702
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,China,CHN,1974,42.4302436609258
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,India,IND,1974,22.675693396367
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Russian Federation,RUS,1974,0.0
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,South Africa,ZAF,1974,38.5805677728908
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Brazil,BRA,1975,35.4712758323878
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,China,CHN,1975,45.3594341174535
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,India,IND,1975,23.2012520766751
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Russian Federation,RUS,1975,0.0
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,South Africa,ZAF,1975,39.2428865394167
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Brazil,BRA,1976,34.9798410825771
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,China,CHN,1976,45.0378103459814
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,India,IND,1976,24.4805234159193
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Russian Federation,RUS,1976,0.0
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,South Africa,ZAF,1976,39.4608690188193
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Brazil,BRA,1977,34.0516019584516
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,China,CHN,1977,46.7015384615385
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,India,IND,1977,24.4002625426169
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Russian Federation,RUS,1977,0.0
