SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Brazil,BRA,1970,0.0227409992
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,China,CHN,1970,91810000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,India,IND,1970,101729808080.41
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Russian Federation,RUS,1970,0.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,South Africa,ZAF,1970,4755000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Brazil,BRA,1971,0.0309449993
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,China,CHN,1971,102990000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,India,IND,1971,112228544892.22
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Russian Federation,RUS,1971,0.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,South Africa,ZAF,1971,5027000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Brazil,BRA,1972,0.0413369983
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,China,CHN,1972,109160000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,India,IND,1972,123793764603.45
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Russian Federation,RUS,1972,0.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,South Africa,ZAF,1972,5880000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Brazil,BRA,1973,0.0589959994
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,China,CHN,1973,118030000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,India,IND,1973,143546901933.13
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Russian Federation,RUS,1973,0.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,South Africa,ZAF,1973,7675000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Brazil,BRA,1974,0.0903410018
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,China,CHN,1974,119980000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,India,IND,1974,179994838087.07
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Russian Federation,RUS,1974,0.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,South Africa,ZAF,1974,9649000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Brazil,BRA,1975,0.1296170056
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,China,CHN,1975,137870000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,India,IND,1975,197703552524.05
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Russian Federation,RUS,1975,0.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,South Africa,ZAF,1975,11061000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Brazil,BRA,1976,0.2071730048
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,China,CHN,1976,134600000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,India,IND,1976,224759805834.07
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Russian Federation,RUS,1976,0.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,South Africa,ZAF,1976,12560000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Brazil,BRA,1977,0.3083879948
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,China,CHN,1977,151780000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,India,IND,1977,253820119540.14
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Russian Federation,RUS,1977,0.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,South Africa,ZAF,1977,13541000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Brazil,BRA,1978,0.4684430063
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,China,CHN,1978,175516089230.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,India,IND,1978,285333701033.33
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Russian Federation,RUS,1978,0.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,South Africa,ZAF,1978,16118000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Brazil,BRA,1979,0.8046309948
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,China,CHN,1979,192538441020.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,India,IND,1979,321165364519.23
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Russian Federation,RUS,1979,0.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,South Africa,ZAF,1979,20618000000.0
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Brazil,BRA,1980,1.7828099728
