SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1970,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1970,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1970,13.98847437064
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1970,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1970,13.1406044678055
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1971,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1971,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1971,15.799665233516
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1971,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1971,13.1406044506038
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1972,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1972,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1972,14.2994910259845
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1972,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1972,13.9206813947298
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1973,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1973,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1973,12.8020000431044
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1973,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1973,13.7963178746213
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1974,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1974,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1974,14.7976132881793
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1974,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1974,13.9525451226932
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1975,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1975,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1975,15.0233354075918
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1975,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1975,14.4444444444444
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1976,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1976,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1976,15.7847669363271
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1976,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1976,13.338463511607
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1977,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1977,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1977,15.3367745885103
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1977,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1977,13.3384635154785
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1978,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1978,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1978,15.4844354620068
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1978,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1978,13.9200593583038
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1979,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1979,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1979,15.79338772735
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1979,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1979,13.9200593526848
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1980,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1980,18.5493899268214
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1980,16.9486583931817
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1980,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1980,14.6043165467626
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1981,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1981,16.6976549352186
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1981,17.8489114394203
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1981,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1981,14.7599713398615
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1982,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1982,17.2835149628092
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1982,17.8772188291162
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1982,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1982,15.3961359892167
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1983,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1983,18.2836897222048
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1983,17.173779362932
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1983,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1983,13.8596730865547
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1984,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1984,18.9933415483062
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1984,17.6272079556475
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1984,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1984,12.8225645129026
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1985,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1985,19.2335427146593
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1985,17.6277311449459
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1985,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1985,11.0453141091658
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1986,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1986,17.568220574199
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1986,17.7658181959739
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1986,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1986,12.5788448201843
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1987,0.0
