SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,Brazil,BRA,1970,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,China,CHN,1970,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,India,IND,1970,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,Russian Federation,RUS,1970,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,South Africa,ZAF,1970,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,Brazil,BRA,1971,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,China,CHN,1971,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,India,IND,1971,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,Russian Federation,RUS,1971,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,South Africa,ZAF,1971,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,Brazil,BRA,1972,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,China,CHN,1972,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,India,IND,1972,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,Russian Federation,RUS,1972,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,South Africa,ZAF,1972,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,Brazil,BRA,1973,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,China,CHN,1973,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,India,IND,1973,0.0
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,Russian Federation,RUS,1973,0.0
