SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Brazil,BRA,1970,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,China,CHN,1970,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,India,IND,1970,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Russian Federation,RUS,1970,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,South Africa,ZAF,1970,0.0836120404260824
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Brazil,BRA,1971,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,China,CHN,1971,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,India,IND,1971,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Russian Federation,RUS,1971,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,South Africa,ZAF,1971,0.0756292192179939
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Brazil,BRA,1972,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,China,CHN,1972,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,India,IND,1972,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Russian Federation,RUS,1972,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,South Africa,ZAF,1972,0.0789997551041282
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Brazil,BRA,1973,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,China,CHN,1973,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,India,IND,1973,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Russian Federation,RUS,1973,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,South Africa,ZAF,1973,0.0542000493429869
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Brazil,BRA,1974,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,China,CHN,1974,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,India,IND,1974,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Russian Federation,RUS,1974,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,South Africa,ZAF,1974,0.071746155899842
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Brazil,BRA,1975,0.066284385448341
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,China,CHN,1975,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,India,IND,1975,0.436550715493511
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Russian Federation,RUS,1975,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,South Africa,ZAF,1975,0.0934681799923908
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Brazil,BRA,1976,0.053052823032262
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,China,CHN,1976,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,India,IND,1976,0.625351969498031
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Russian Federation,RUS,1976,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,South Africa,ZAF,1976,0.0785447234337841
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Brazil,BRA,1977,0.03462539325765
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,China,CHN,1977,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,India,IND,1977,0.769146833240714
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Russian Federation,RUS,1977,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,South Africa,ZAF,1977,0.0707233585723475
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Brazil,BRA,1978,0.0562746504497923
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,China,CHN,1978,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,India,IND,1978,0.848342481993054
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Russian Federation,RUS,1978,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,South Africa,ZAF,1978,0.0934970368671433
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Brazil,BRA,1979,0.0324488446757693
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,China,CHN,1979,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,India,IND,1979,0.939279051748523
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Russian Federation,RUS,1979,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,South Africa,ZAF,1979,0.0886845636402657
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Brazil,BRA,1980,0.0472290987752757
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,China,CHN,1980,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,India,IND,1980,1.47965677169252
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Russian Federation,RUS,1980,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,South Africa,ZAF,1980,0.0808586435851939
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Brazil,BRA,1981,0.0470479160946099
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,China,CHN,1981,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,India,IND,1981,1.18941974838893
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,Russian Federation,RUS,1981,0.0
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,South Africa,ZAF,1981,0.101642633894909
