SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1970,196173000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1970,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1970,-6782000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1970,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1970,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1971,334769000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1971,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1971,3474000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1971,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1971,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1972,743070000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1972,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1972,-15467000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1972,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1972,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1973,1043908000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1973,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1973,-23434000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1973,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1973,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1974,2048761000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1974,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1974,-8886000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1974,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1974,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1975,2188592000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1975,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1975,-2942000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1975,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1975,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1976,2482277000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1976,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1976,-2623000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1976,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1976,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1977,2281841000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1977,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1977,90330000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1977,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1977,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1978,4909834000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1978,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1978,22944000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1978,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1978,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1979,4343215000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1979,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1979,33377000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1979,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1979,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1980,2443782000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1980,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1980,605683000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1980,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1980,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1981,5022250000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1981,-235779000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1981,470932000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1981,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1981,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1982,5109592000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1982,-223833000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,India,IND,1982,711451000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Russian Federation,RUS,1982,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,South Africa,ZAF,1982,0.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Brazil,BRA,1983,3824495000.0
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,China,CHN,1983,100332000.0
