SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1970,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1970,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1970,1065196000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1970,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1970,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1971,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1971,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1971,1170138000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1971,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1971,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1972,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1972,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1972,1608727000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1972,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1972,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1973,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1973,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1973,1928853000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1973,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1973,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1974,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1974,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1974,2323664000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1974,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1974,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1975,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1975,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1975,2808602000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1975,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1975,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1976,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1976,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1976,3332968000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1976,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1976,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1977,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1977,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1977,3655841000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1977,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1977,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1978,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1978,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1978,3972025000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1978,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1978,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1979,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1979,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1979,4505397000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1979,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1979,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1980,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1980,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1980,5142002000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1980,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1980,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1981,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1981,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1981,5908688256.6
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1981,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1981,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1982,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1982,882488.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1982,6992144618.3
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1982,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1982,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1983,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1983,66839381.9
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1983,7807784154.5
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1983,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1983,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1984,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1984,180718377.1
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1984,8533133939.1
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1984,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1984,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1985,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1985,431437407.6
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1985,9681355452.9
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1985,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1985,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1986,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1986,773791427.2
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1986,10402579265.6
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1986,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1986,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1987,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1987,1329861814.6
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1987,11698029182.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1987,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1987,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1988,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1988,1819175125.1
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1988,12185908716.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1988,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1988,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1989,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1989,2295590305.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1989,12568023648.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1989,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1989,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1990,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1990,3015847314.6
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1990,13621962774.6
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1990,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1990,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1991,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1991,3671619756.2
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1991,14203381000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1991,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1991,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1992,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1992,4397386000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1992,15339123000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1992,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1992,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1993,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1993,5325371000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1993,15978150000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1993,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1993,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1994,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1994,6307740000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1994,17666075000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1994,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1994,0.0
