SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1970,0.0293040001
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1970,56830000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1970,164078452694.86
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1970,0.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1970,6741000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1971,0.0396390008
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1971,60060000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1971,179447571430.73
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1971,0.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1971,7585000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1972,0.0522319991
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1972,63330000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1972,196240578335.4
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1972,0.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1972,8422000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1973,0.0720559955
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1973,66840000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1973,221542535485.82
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1973,0.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1973,10176000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1974,0.1060230024
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1974,68270000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1974,266793772109.03
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1974,0.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1974,12080000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1975,0.1539879814
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1975,68960000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1975,299430083935.33
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1975,0.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1975,13661000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1976,0.2466700003
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1976,67560000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1976,328720009016.43
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1976,0.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1976,15571000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1977,0.3725150079
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1977,79010000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1977,360560599240.17
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1977,0.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1977,17386000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1978,0.5632299632
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1978,90507746440.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1978,393666603301.08
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1978,0.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1978,19403000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1979,0.9572859556
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1979,91609554270.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1979,438910341471.85
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1979,0.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1979,22085000000.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1980,1.8371538818
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1980,102335582730.0
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1980,497179244140.99
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1980,0.0
