SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1970,11.9318
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1970,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1970,3.359
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1970,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1970,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1971,11.9465
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1971,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1971,3.4088
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1971,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1971,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1972,11.9275
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1972,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1972,3.4897
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1972,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1972,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1973,11.9544
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1973,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1973,3.447
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1973,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1973,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1974,12.0278
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1974,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1974,3.4417
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1974,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1974,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1975,11.9003
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1975,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1975,3.4113
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1975,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1975,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1976,11.9656
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1976,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1976,3.4209
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1976,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1976,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1977,14.1198
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1977,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1977,2.8025
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1977,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1977,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1978,12.8609
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1978,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1978,3.9406
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1978,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1978,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1979,13.9862
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1979,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1979,3.8371
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1979,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1979,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1980,18.809
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1980,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1980,6.1331
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1980,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1980,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1981,18.742
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1981,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1981,7.104
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1981,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1981,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1982,18.5149
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1982,27.512
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1982,8.8966
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1982,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1982,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1983,14.4029
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1983,41.4494
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1983,10.8908
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1983,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1983,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1984,10.557
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1984,46.3233
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1984,11.2074
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1984,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1984,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1985,9.0027
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1985,38.4389
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1985,11.193
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1985,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1985,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1986,8.5999
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1986,25.6162
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1986,11.0132
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1986,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1986,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1987,11.1001
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1987,23.2629
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1987,10.6186
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1987,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1987,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1988,8.8887
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1988,20.7498
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1988,10.7238
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1988,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1988,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1989,15.6736
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1989,15.3719
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1989,10.1748
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1989,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1989,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Brazil,BRA,1990,19.7113
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,China,CHN,1990,16.8476
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,India,IND,1990,10.2358
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Russian Federation,RUS,1990,0.0
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,South Africa,ZAF,1990,0.0
