SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1970,60.0065614331945
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1970,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1970,27.6590493402945
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1970,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1970,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1971,52.6278865890245
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1971,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1971,25.5253179049731
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1971,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1971,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1972,33.541403646529
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1972,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1972,25.592251897629
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1972,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1972,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1973,27.670790437921
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1973,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1973,23.1997899946527
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1973,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1973,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1974,49.4589728649365
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1974,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1974,18.7985260079817
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1974,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1974,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1975,79.3499549092722
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1975,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1975,22.9119159125406
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1975,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1975,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1976,60.666441545357
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1976,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1976,13.3824985502895
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1976,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1976,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1977,80.6374668047747
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1977,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1977,7.09891165257387
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1977,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1977,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1978,58.0609035933473
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1978,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1978,7.82817379514906
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1978,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1978,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1979,87.8450741942175
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1979,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1979,5.90753738212493
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1979,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1979,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1980,196.931891464618
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1980,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1980,10.5830338500975
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1980,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1980,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1981,205.256485541372
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1981,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1981,19.6945606930132
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1981,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1981,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1982,437.374535162682
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1982,13.4099054690438
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1982,29.0842935999812
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1982,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1982,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1983,312.66528751954
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1983,20.0890465366538
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1983,40.6293661708924
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1983,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1983,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1984,92.1160041770696
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1984,26.3140042148338
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1984,43.0180867282681
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1984,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1984,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1985,80.7237450539276
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1985,38.0248922267351
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1985,45.9070128273917
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1985,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1985,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1986,115.215203128684
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1986,37.0094485148278
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1986,47.1941945098128
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1986,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1986,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1987,164.398175440115
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1987,36.6142332961433
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1987,49.2801236381635
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1987,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1987,0.0
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1988,115.115561060551
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1988,37.0755315723861
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1988,69.2152310847791
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1988,0.0
