SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1970,38628046143.7742
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1970,1040250101623.07
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1970,5009528868976.86
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1970,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1970,27792000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1971,42551355172.6591
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1971,1060014853567.07
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1971,4915481640428.78
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1971,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1971,33007000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1972,44240566977.9049
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1972,1050474719824.97
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1972,4668799189132.38
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1972,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1972,32796000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1973,44253864417.4297
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1973,1145017444599.1
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1973,5005041743642.72
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1973,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1973,28644000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1974,44691965933.6477
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1974,1191963159817.41
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1974,4928797093656.1
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1974,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1974,37345000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1975,47914259435.0143
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1975,1215802423120.07
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1975,5564108375721.58
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1975,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1975,34141000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1976,49083399028.3114
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1976,1193917979435.06
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1976,5242604021495.74
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1976,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1976,33315000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1977,55037111391.1143
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1977,1167651783855.34
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1977,5768765067790.91
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1977,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1977,37230000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1978,53510333103.8042
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1978,1154568345323.74
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1978,5901591273820.22
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1978,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1978,38722000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1979,56062454459.1398
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1979,1224997014388.49
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1979,5147681256297.1
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1979,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1979,37883000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1980,61415897295.6367
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1980,1207678489208.63
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1980,5811126015834.07
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1980,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1980,41663000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1981,66310820327.5208
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1981,1291961978417.27
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1981,6078535050201.14
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1981,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1981,44072000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1982,65985394010.3918
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1982,1440901294964.03
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1982,6061464400216.12
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1982,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1982,40350000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1983,65604592065.019
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1983,1559821834532.37
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1983,6674943641304.14
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1983,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1983,31188000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1984,67815252426.6561
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1984,1761871294964.03
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1984,6780747663456.01
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1984,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1984,34744000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1985,74571416940.0931
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1985,1794199208633.09
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1985,6802057740959.88
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1985,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1985,41810000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1986,68589328590.947
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1986,1853082194244.6
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1986,6774204372277.78
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1986,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1986,44565000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1987,78858259540.2092
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1987,1940829388489.21
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1987,6666643785741.87
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1987,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1987,45699000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1988,79521164044.8837
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1988,1989321258992.81
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1988,7709283372468.27
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1988,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1988,46981000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1989,81787755547.2807
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1989,2050513381294.96
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1989,7800958681309.41
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1989,0.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1989,53888000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1990,78761307908.0683
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1990,2201761834532.37
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1990,8114174646050.58
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1990,3313873571920.56
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1990,50043000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1991,75923476400.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1991,2253717410071.94
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1991,7955746340700.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1991,3191260249850.29
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1991,52278000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1992,80051648900.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1992,2357628561151.08
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1992,8484883569500.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1992,2904046827012.98
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1992,38027000000.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1993,80841466200.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1993,2467312553956.83
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,India,IND,1993,8766811375500.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Russian Federation,RUS,1993,2787884953944.52
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,South Africa,ZAF,1993,47127832200.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Brazil,BRA,1994,86856934500.0
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,China,CHN,1994,2565450863309.35
