SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1970,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1970,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1970,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1970,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1970,21.5753424657534
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1971,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1971,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1971,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1971,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1971,21.5273412729396
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1972,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1972,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1972,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1972,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1972,23.7938689406272
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1973,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1973,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1973,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1973,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1973,23.0272413261317
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1974,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1974,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1974,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1974,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1974,16.1934054381635
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1975,24.241214057508
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1975,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1975,22.850172547247
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1975,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1975,22.4916580002311
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1976,27.2378025355359
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1976,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1976,29.9409066415352
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1976,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1976,22.2641509433962
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1977,35.4815610454708
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1977,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1977,29.2166493626453
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1977,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1977,29.0630975143403
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1978,39.622641509434
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1978,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1978,25.9580468397098
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1978,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1978,31.3489896231568
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1979,35.9041853119242
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1979,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1979,29.2029753730413
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1979,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1979,26.0453552374064
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1980,34.9620201190721
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1980,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1980,30.9699662768728
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1980,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1980,24.9925179264418
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1981,36.7263526664072
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1981,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1981,30.8196716667132
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1981,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1981,21.532533016034
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1982,35.7420789327404
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1982,30.7312252964427
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1982,29.318634014228
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1982,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1982,22.7512322432164
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1983,38.7315419995159
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1983,23.9719157472417
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1983,33.1567582619307
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1983,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1983,25.124848273723
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1984,34.4155844155844
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1984,44.277213860693
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1984,29.0850793923675
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1984,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1984,23.2540249477829
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1985,35.6728232189974
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1985,24.445324881141
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1985,29.1931381805294
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1985,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1985,23.7351280496452
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1986,37.4800637958533
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1986,16.0808435852373
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1986,32.9190935290845
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1986,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1986,21.9387945341226
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1987,39.2029657089898
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1987,12.635814889336
