SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1970,7.02943634908589
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1970,2.49155590647892
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1970,3.78282506203901
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1970,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1970,21.1994527211919
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1971,6.41330674313925
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1971,2.78806626236314
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1971,3.66720521708832
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1971,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1971,21.2748401292718
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1972,7.259175691336
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1972,3.24792352295878
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1972,4.02748926158673
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1972,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1972,24.631502009989
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1973,8.27167782462644
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1973,4.24134678180103
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1973,4.20876319232271
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1973,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1973,24.6237088047221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1974,8.01311941176138
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1974,4.92980160554514
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1974,4.83132100338351
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1974,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1974,27.1611355457817
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1975,7.53857281945099
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1975,4.70472117124527
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1975,5.64706215784259
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1975,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1975,26.8431136024977
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1976,7.03571355665957
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1976,4.51047313123201
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1976,6.68651286170258
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1976,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1976,26.884287913538
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1977,7.25236847121218
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1977,4.29846153846154
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1977,6.38317181382281
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1977,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1977,29.3077597668958
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1978,6.67557886823388
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1978,4.55595414706769
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1978,6.31482523475021
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1978,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1978,31.3854784341707
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1979,7.12390494963595
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1979,5.16284335734386
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1979,6.74963815734046
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1979,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1979,34.1663404684893
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1980,9.05272982472942
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1980,5.91161214157888
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1980,6.13955113205993
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1980,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1980,34.3411524416662
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1981,9.42035430772259
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1981,7.44757798971743
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1981,5.93602662650719
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1981,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1981,27.4705639192991
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1982,7.60968270162801
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1982,11.0196293674193
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1982,5.98329984870625
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1982,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1982,25.6185924160041
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1983,11.4218215925107
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1983,9.51780053267791
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1983,5.83762942419484
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1983,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1983,23.9562583427457
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1984,13.547584918489
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1984,9.52669262214982
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1984,6.28340139298242
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1984,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1984,24.6880039262427
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1985,12.2479596662611
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1985,8.33680172691235
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1985,5.25455499627935
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1985,0.0
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,1985,30.4421458732039
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,1986,8.81658867805845
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,1986,8.71217788685542
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,1986,5.19622166028455
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,1986,0.0
