SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Brazil,BRA,1970,6.20138116360849
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,China,CHN,1970,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,India,IND,1970,31.5578163494325
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Russian Federation,RUS,1970,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,South Africa,ZAF,1970,2.73809289864471
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Brazil,BRA,1971,5.50997854279788
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,China,CHN,1971,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,India,IND,1971,1.05203720764395
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Russian Federation,RUS,1971,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,South Africa,ZAF,1971,3.08178346223245
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Brazil,BRA,1972,24.1631690075453
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,China,CHN,1972,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,India,IND,1972,8.23785444536954
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Russian Federation,RUS,1972,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,South Africa,ZAF,1972,3.00047317294938
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Brazil,BRA,1973,14.2547720490322
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,China,CHN,1973,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,India,IND,1973,4.96345587433021
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Russian Federation,RUS,1973,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,South Africa,ZAF,1973,-5.18118846663126
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Brazil,BRA,1974,2.33378584565473
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,China,CHN,1974,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,India,IND,1974,8.19979729914841
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Russian Federation,RUS,1974,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,South Africa,ZAF,1974,-4.8920977216232
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Brazil,BRA,1975,11.5724228410492
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,China,CHN,1975,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,India,IND,1975,16.4488383217807
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Russian Federation,RUS,1975,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,South Africa,ZAF,1975,-1.15932957322555
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Brazil,BRA,1976,-0.320630555299374
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,China,CHN,1976,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,India,IND,1976,19.8188369167183
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Russian Federation,RUS,1976,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,South Africa,ZAF,1976,4.29961194351623
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Brazil,BRA,1977,-0.354325244386601
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,China,CHN,1977,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,India,IND,1977,-3.5673562469465
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Russian Federation,RUS,1977,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,South Africa,ZAF,1977,4.60197398168125
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Brazil,BRA,1978,13.2517454645674
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,China,CHN,1978,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,India,IND,1978,7.80303030303095
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Russian Federation,RUS,1978,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,South Africa,ZAF,1978,3.29693062489773
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Brazil,BRA,1979,9.29982291777516
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,China,CHN,1979,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,India,IND,1979,11.1541910000722
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Russian Federation,RUS,1979,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,South Africa,ZAF,1979,1.84065400307871
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Brazil,BRA,1980,22.6142541785447
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,China,CHN,1980,0.0
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,India,IND,1980,5.23732968932076
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Russian Federation,RUS,1980,0.0
