SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Brazil,BRA,1970,22194788926.532
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,China,CHN,1970,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,India,IND,1970,447324004508.29
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Russian Federation,RUS,1970,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,South Africa,ZAF,1970,313682000000.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Brazil,BRA,1971,23417717034.0032
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,China,CHN,1971,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,India,IND,1971,452030019474.44
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Russian Federation,RUS,1971,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,South Africa,ZAF,1971,323349000000.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Brazil,BRA,1972,29076179578.6381
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,China,CHN,1972,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,India,IND,1972,489267594528.12
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Russian Federation,RUS,1972,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,South Africa,ZAF,1972,333051000000.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Brazil,BRA,1973,33220922698.1402
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,China,CHN,1973,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,India,IND,1973,513552175689.92
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Russian Federation,RUS,1973,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,South Africa,ZAF,1973,315795000000.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Brazil,BRA,1974,33996227889.8653
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,China,CHN,1974,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,India,IND,1974,555662413121.86
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Russian Federation,RUS,1974,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,South Africa,ZAF,1974,300346000000.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Brazil,BRA,1975,37930415131.2872
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,China,CHN,1975,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,India,IND,1975,647062425071.18
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Russian Federation,RUS,1975,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,South Africa,ZAF,1975,296864000000.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Brazil,BRA,1976,37808798630.6244
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,China,CHN,1976,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,India,IND,1976,775302671845.4
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Russian Federation,RUS,1976,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,South Africa,ZAF,1976,309628000000.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Brazil,BRA,1977,37674832512.4768
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,China,CHN,1977,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,India,IND,1977,747644863548.58
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Russian Federation,RUS,1977,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,South Africa,ZAF,1977,323877000000.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Brazil,BRA,1978,42667405421.2323
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,China,CHN,1978,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,India,IND,1978,805983818810.33
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Russian Federation,RUS,1978,0.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,South Africa,ZAF,1978,334555000000.0
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Brazil,BRA,1979,46635398569.0161
