SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1970,0.0049669999
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1970,5680000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1970,17710000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1970,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1970,2789000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1971,0.0060649999
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1971,6850000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1971,18380000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1971,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1971,3094000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1972,0.0091650002
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1972,8290000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1972,22250000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1972,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1972,4044000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1973,0.0146009997
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1973,11690000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1973,28300000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1973,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1973,5006000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1974,0.0207909998
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1974,13940000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1974,38350000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1974,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1974,6793000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1975,0.027547
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1975,14300000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1975,48120000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1975,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1975,7566000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1976,0.0416699983
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1976,13480000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1976,61390000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1976,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1976,8557000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1977,0.065681003
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1977,13970000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1977,66400000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1977,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1977,10360000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1978,0.0880369991
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1978,16760000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1978,71150000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1978,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1978,12756000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1979,0.1569599956
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1979,21170000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1979,83400000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1979,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1979,16584000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1980,0.4076359868
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1980,27120000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1980,90290000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1980,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1980,22194000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1981,0.8403639793
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1981,36760000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1981,102560000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1981,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1981,20601000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1982,1.3985500336
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1982,59212326963.3978
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1982,115630000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1982,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1982,21815000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1983,4.87018013
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1983,57305954612.8557
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1983,131390000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1983,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1983,23331000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1984,19.0203990936
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1984,69340054226.492
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1984,158460000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1984,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1984,28170000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1985,61.5749015808
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1985,75856125625.413
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1985,149510000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1985,0.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1985,40085000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1986,117.3990020752
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1986,90398903382.1215
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1986,165430000000.0
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1986,0.0
