SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,1970,2975391707.00149
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,1970,2307254854.17174
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,1970,2361333333.33333
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,1970,0.0
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,1970,3904598439.72246
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,1971,3155632739.4951
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,1971,2782516857.58388
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,1971,2469898946.46313
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,1971,0.0
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,1971,4325960319.7214
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,1972,4249449495.7691
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,1972,3692485858.09095
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,1972,2878172457.50653
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,1972,0.0
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,1972,5260657259.99935
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,1973,6557708237.89377
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,1973,5876143560.87263
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,1973,3599135190.13099
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,1973,0.0
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,1973,7213681633.79544
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,1974,8424673828.03794
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,1974,7107893126.65715
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,1974,4808415667.78675
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,1974,0.0
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,1974,9997395002.78419
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,1975,9325921437.05926
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,1975,7688998817.07711
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,1975,5560820024.49904
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,1975,0.0
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,1975,10231130026.4433
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,1976,10741988183.0392
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,1976,6943442876.27485
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,1976,6868196413.18819
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,1976,0.0
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,1976,9840549991.443
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,1977,12776590678.7557
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,1977,7519646894.17591
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,1977,7754744525.54745
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,1977,0.0
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,1977,11913999989.64
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,1978,13404621904.9098
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,1978,6813008130.0813
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,1978,8670273695.49852
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,1978,0.0
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,1978,14669399987.244
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,1979,16026612550.3001
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,1979,9204347826.08696
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,1979,10326383041.9494
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,1979,0.0
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,1979,19695433307.717
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,1980,21276141967.6084
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,1980,11300000000.0
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,1980,11439539833.7726
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,1980,0.0
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,1980,28496454297.965
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,1981,24828388398.9376
