SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1970,714020876.8
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1970,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1970,283000000.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1970,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1970,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1971,923022229.4
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1971,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1971,318000000.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1971,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1971,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1972,1415046641.1
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1972,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1972,350000000.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1972,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1972,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1973,1801054970.7
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1973,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1973,378000000.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1973,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1973,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Brazil,BRA,1974,2702061538.3
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,China,CHN,1974,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,India,IND,1974,437000000.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Russian Federation,RUS,1974,0.0
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,South Africa,ZAF,1974,0.0
