SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,1970,447443002845.25
GDP (constant 2010 US$),NY.GDP.MKTP.KD,China,CHN,1970,186993617138.508
GDP (constant 2010 US$),NY.GDP.MKTP.KD,India,IND,1970,219861650853.232
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,1970,0.0
GDP (constant 2010 US$),NY.GDP.MKTP.KD,South Africa,ZAF,1970,137805520603.344
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,1971,497982078591.116
GDP (constant 2010 US$),NY.GDP.MKTP.KD,China,CHN,1971,200195366514.754
GDP (constant 2010 US$),NY.GDP.MKTP.KD,India,IND,1971,223473824717.617
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,1971,0.0
GDP (constant 2010 US$),NY.GDP.MKTP.KD,South Africa,ZAF,1971,143702178080.103
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,1972,558002873764.336
GDP (constant 2010 US$),NY.GDP.MKTP.KD,China,CHN,1972,207822809975.472
GDP (constant 2010 US$),NY.GDP.MKTP.KD,India,IND,1972,222237341112.634
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,1972,0.0
GDP (constant 2010 US$),NY.GDP.MKTP.KD,South Africa,ZAF,1972,146080107174.484
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,1973,636004374891.996
GDP (constant 2010 US$),NY.GDP.MKTP.KD,China,CHN,1973,223949860032.986
GDP (constant 2010 US$),NY.GDP.MKTP.KD,India,IND,1973,229561219659.359
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,1973,0.0
GDP (constant 2010 US$),NY.GDP.MKTP.KD,South Africa,ZAF,1973,152758886477.148
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,1974,693512655666.751
GDP (constant 2010 US$),NY.GDP.MKTP.KD,China,CHN,1974,229123101800.848
GDP (constant 2010 US$),NY.GDP.MKTP.KD,India,IND,1974,232282292035.662
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,1974,0.0
GDP (constant 2010 US$),NY.GDP.MKTP.KD,South Africa,ZAF,1974,162094065223.808
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,1975,729638256284.47
GDP (constant 2010 US$),NY.GDP.MKTP.KD,China,CHN,1975,249102636278.971
GDP (constant 2010 US$),NY.GDP.MKTP.KD,India,IND,1975,253535917382.899
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,1975,0.0
GDP (constant 2010 US$),NY.GDP.MKTP.KD,South Africa,ZAF,1975,164842286098.1
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,1976,801072834269.764
GDP (constant 2010 US$),NY.GDP.MKTP.KD,China,CHN,1976,245191724882.539
GDP (constant 2010 US$),NY.GDP.MKTP.KD,India,IND,1976,257752482445.013
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,1976,0.0
GDP (constant 2010 US$),NY.GDP.MKTP.KD,South Africa,ZAF,1976,168551079375.625
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,1977,837972796917.598
GDP (constant 2010 US$),NY.GDP.MKTP.KD,China,CHN,1977,263752738454.116
GDP (constant 2010 US$),NY.GDP.MKTP.KD,India,IND,1977,276451818260.547
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,1977,0.0
