SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1970,42327600098.2412
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1970,92602973434.0726
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1970,62422483054.5173
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1970,0.0
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,1970,18418392640.0103
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1971,49204456700.4516
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1971,99800958648.1436
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1971,67350988020.9041
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1971,0.0
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,1971,20333691315.355
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1972,58539008786.3684
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1972,113687586299.051
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1972,71463193830.4064
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1972,0.0
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,1972,21357435928.4543
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1973,79279057730.829
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1973,138544284708.957
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1973,85515269585.5221
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1973,0.0
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,1973,29295674713.3562
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1974,105136007528.76
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1974,144182133387.722
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1974,99525899115.7756
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1974,0.0
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,1974,36807721039.2511
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1975,123709376567.89
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1975,163431551779.761
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1975,98472796457.114
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1975,0.0
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,1975,38114542813.287
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1976,152678020452.829
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1976,153940455341.506
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1976,102717164465.894
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1976,0.0
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,1976,36603349968.171
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1977,176171284311.761
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1977,174938098826.569
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1977,121487322474.298
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1977,0.0
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,1977,40651349964.651
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1978,200800891870.164
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1978,149540752829.268
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1978,137300295308.038
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1978,0.0
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,1978,46739449959.357
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1979,224969488835.181
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1979,178280594413.043
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1979,152991653792.864
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1979,0.0
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,1979,57645721015.634
