SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1970.0;774015790310.941
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1970.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1970.0;10810680083064.8
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1970.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;South Africa;ZAF;1970.0;782102000000.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1971.0;872677049132.11
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1971.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1971.0;11212276415861.1
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1971.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;South Africa;ZAF;1971.0;834382000000.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1972.0;979316136274.183
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1972.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1972.0;11186907255082.8
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1972.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;South Africa;ZAF;1972.0;827429000000.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1973.0;1103534502807.64
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1973.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1973.0;11753577551130.1
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1973.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;South Africa;ZAF;1973.0;897394000000.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1974.0;1216192041455.27
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1974.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1974.0;11592339315451.8
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1974.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;South Africa;ZAF;1974.0;972580000000.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1975.0;1243278777730.44
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1975.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1975.0;11955420384844.7
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1975.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;South Africa;ZAF;1975.0;1017342000000.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1976.0;1399612667167.35
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1976.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1976.0;12566768935375.1
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1976.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;South Africa;ZAF;1976.0;1008125000000.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1977.0;1468426569565.96
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1977.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1977.0;13727136511572.7
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1977.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;South Africa;ZAF;1977.0;998251000000.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1978.0;1515779067946.09
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1978.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1978.0;14922588785158.8
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1978.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;South Africa;ZAF;1978.0;1003396000000.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1979.0;1642370916095.22
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1979.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1979.0;14405099189997.4
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1979.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;South Africa;ZAF;1979.0;1048386000000.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1980.0;1766679121559.81
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1980.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1980.0;15628205668321.2
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1980.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;South Africa;ZAF;1980.0;1193837000000.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1981.0;1676723461819.3
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1981.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1981.0;16009156313235.4
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1981.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;South Africa;ZAF;1981.0;1276487000000.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Brazil;BRA;1982.0;1702393150964.03
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;China;CHN;1982.0;
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;India;IND;1982.0;16358913742407.0
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;Russian Federation;RUS;1982.0;
