SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1970.0;0.0709569985
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1970.0;220602123070.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1970.0;492911584880.178
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1970.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1970.0;13059000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1971.0;0.0962000033
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1971.0;237945046920.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1971.0;539079332120.23
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1971.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1971.0;15046000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1972.0;0.1282549994
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1972.0;243832179710.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1972.0;584181361658.651
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1972.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1972.0;16018000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1973.0;0.178689003
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1973.0;265722474610.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1973.0;719286596120.215
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1973.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1973.0;19008000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1974.0;0.2746940051
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1974.0;274667924290.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1974.0;869046784597.154
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1974.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1974.0;23689000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1975.0;0.3799099959
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1975.0;294915278960.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1975.0;904783895295.304
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1975.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1975.0;28802000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1976.0;0.6064599976
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1976.0;296001604530.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1976.0;954313030312.356
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1976.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1976.0;32150000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1977.0;0.911675036
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1977.0;315639328380.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1977.0;1092868706091.28
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1977.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1977.0;35248000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1978.0;1.3344700039
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1978.0;361695080430.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1978.0;1230771398213.01
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1978.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1978.0;38898000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1979.0;2.2484900057
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1979.0;406732162740.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1979.0;1335984547785.57
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1979.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1979.0;46025000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1980.0;4.6043620706
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1980.0;455521861930.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1980.0;1596744908694.94
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1980.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1980.0;61504000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1981.0;8.9545442462
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1981.0;490449543120.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1981.0;1841763409358.27
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1981.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1981.0;76609000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1982.0;18.5007399321
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1982.0;529524596100.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1982.0;2054321188440.94
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1982.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1982.0;83586000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1983.0;41.6101698876
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1983.0;598343423290.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1983.0;2378675079145.9
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1983.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1983.0;97012000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1984.0;132.5021715164
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1984.0;728887850220.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1984.0;2672965625848.82
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1984.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1984.0;113258000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1985.0;476.8318023681
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1985.0;947518551060.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;India;IND;1985.0;3032084023978.34
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Russian Federation;RUS;1985.0;
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;South Africa;ZAF;1985.0;125227000000.0
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;Brazil;BRA;1986.0;1298.7859802246
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;China;CHN;1986.0;1064543468230.0
