SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;Brazil;BRA;1970.0;
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;China;CHN;1970.0;
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;India;IND;1970.0;203968860382.873
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;Russian Federation;RUS;1970.0;
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;South Africa;ZAF;1970.0;126639955845.28
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;Brazil;BRA;1971.0;
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;China;CHN;1971.0;
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;India;IND;1971.0;206028263314.879
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;Russian Federation;RUS;1971.0;
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;South Africa;ZAF;1971.0;132166753353.164
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;Brazil;BRA;1972.0;
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;China;CHN;1972.0;
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;India;IND;1972.0;205371870923.625
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;Russian Federation;RUS;1972.0;
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;South Africa;ZAF;1972.0;134723235233.077
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;Brazil;BRA;1973.0;
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;China;CHN;1973.0;
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;India;IND;1973.0;214719259478.097
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;Russian Federation;RUS;1973.0;
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;South Africa;ZAF;1973.0;139861192912.34
Gross value added at basic prices (GVA) (constant 2010 US$);NY.GDP.FCST.KD;Brazil;BRA;1974.0;
