SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;Brazil;BRA;1970.0;425465215240.074
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;China;CHN;1970.0;
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;India;IND;1970.0;8042808026125.67
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;Russian Federation;RUS;1970.0;
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;South Africa;ZAF;1970.0;447764000000.0
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;Brazil;BRA;1971.0;480687622343.631
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;China;CHN;1971.0;
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;India;IND;1971.0;8199301904879.42
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;Russian Federation;RUS;1971.0;
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;South Africa;ZAF;1971.0;468837000000.0
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;Brazil;BRA;1972.0;536123120495.995
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;China;CHN;1972.0;
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;India;IND;1972.0;8254227720410.54
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;Russian Federation;RUS;1972.0;
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;South Africa;ZAF;1972.0;488887000000.0
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;Brazil;BRA;1973.0;585182722939.376
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;China;CHN;1973.0;
