SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;Brazil;BRA;1970.0;205969000.0
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;China;CHN;1970.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;India;IND;1970.0;1561578000.0
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;Russian Federation;RUS;1970.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;South Africa;ZAF;1970.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;Brazil;BRA;1971.0;292749000.0
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;China;CHN;1971.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;India;IND;1971.0;1649760000.0
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;Russian Federation;RUS;1971.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;South Africa;ZAF;1971.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;Brazil;BRA;1972.0;430949000.0
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;China;CHN;1972.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;India;IND;1972.0;2085600000.0
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;Russian Federation;RUS;1972.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;South Africa;ZAF;1972.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;Brazil;BRA;1973.0;595841000.0
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;China;CHN;1973.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;India;IND;1973.0;2392471000.0
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;Russian Federation;RUS;1973.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;South Africa;ZAF;1973.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;Brazil;BRA;1974.0;821285000.0
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;China;CHN;1974.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;India;IND;1974.0;2777453000.0
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;Russian Federation;RUS;1974.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;South Africa;ZAF;1974.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;Brazil;BRA;1975.0;1044749000.0
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;China;CHN;1975.0;
IBRD loans and IDA credits (DOD, current US$);DT.DOD.MWBG.CD;India;IND;1975.0;3236806000.0
