SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1970.0;19371925283.5884
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1970.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1970.0;9560583039.59688
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1970.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;South Africa;ZAF;1970.0;30823225700.7048
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1971.0;24117477023.7949
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1971.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1971.0;11284211174.9416
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1971.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;South Africa;ZAF;1971.0;33932415451.019
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1972.0;28947489123.2892
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1972.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1972.0;11071118584.4716
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1972.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;South Africa;ZAF;1972.0;29672594656.6137
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1973.0;34853273063.7972
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1973.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1973.0;11965122030.6412
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1973.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;South Africa;ZAF;1973.0;33006747527.7277
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1974.0;44782478539.9343
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1974.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1974.0;10438601482.7017
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1974.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;South Africa;ZAF;1974.0;39281538545.5936
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1975.0;42756180837.3714
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1975.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1975.0;10572159346.7902
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1975.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;South Africa;ZAF;1975.0;37990083592.8536
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1976.0;42224802333.5981
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1976.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1976.0;10772630687.696
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1976.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;South Africa;ZAF;1976.0;34190160083.0465
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1977.0;39027181329.0768
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1977.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1977.0;13723858957.9412
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1977.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;South Africa;ZAF;1977.0;29514014096.0498
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1978.0;40815301511.2275
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1978.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1978.0;13730603386.3862
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1978.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;South Africa;ZAF;1978.0;29540649073.9223
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1979.0;44165330274.8792
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1979.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1979.0;16383470960.2216
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1979.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;South Africa;ZAF;1979.0;29257225591.4331
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1980.0;44464210983.8759
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1980.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1980.0;18735186830.1453
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1980.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;South Africa;ZAF;1980.0;34838277877.9435
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1981.0;38969713485.2945
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1981.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1981.0;20614217483.3951
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1981.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;South Africa;ZAF;1981.0;39623558979.4023
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Brazil;BRA;1982.0;36619468664.815
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;China;CHN;1982.0;
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;India;IND;1982.0;21326267623.8086
Imports of goods and services (constant 2010 US$);NE.IMP.GNFS.KD;Russian Federation;RUS;1982.0;
