SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1970.0;3153304260.31533
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1970.0;2278820375.33512
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1970.0;2421333333.33333
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1970.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1970.0;4537398186.85568
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1971.0;4004245613.85253
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1971.0;2128523844.34154
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1971.0;2695656847.98968
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1971.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1971.0;5155079411.38099
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1972.0;5177234171.78625
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1972.0;2850652532.18119
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1972.0;2650505782.21613
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1972.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1972.0;4735111875.9638
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1973.0;7532763884.77189
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1973.0;5207600281.49191
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1973.0;4039170799.94913
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1973.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1973.0;6474444982.15
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1974.0;14596797400.1872
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1974.0;7791148276.56537
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1974.0;5992025678.31887
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1974.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1974.0;10199020663.8149
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1975.0;14233481672.8226
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1975.0;7925583396.06409
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1975.0;6545404118.61234
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1975.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1975.0;11142547107.8367
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1976.0;14401534168.3917
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1976.0;6660142165.44761
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1976.0;6280836400.65784
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1976.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1976.0;10274099991.066
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1977.0;13948797699.9376
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1977.0;7148239853.59027
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1977.0;7611094890.51095
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1977.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1977.0;9939449991.357
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1978.0;15791774010.8349
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1978.0;7617886178.86179
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1978.0;9045599668.54329
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1978.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1978.0;11625349989.891
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1979.0;20642227950.3886
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1979.0;10560869565.2174
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1979.0;12498142736.863
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1979.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1979.0;14412914774.6294
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1980.0;26571483279.6605
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1980.0;12450000000.0
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1980.0;17225826069.329
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1980.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1980.0;22027807963.2283
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1981.0;25827534749.1203
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1981.0;14591269841.2698
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1981.0;16584540954.5994
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1981.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1981.0;25138479201.2719
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1982.0;23307743170.8143
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1982.0;17788124795.19
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1982.0;16343487427.6871
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1982.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1982.0;20405854588.6939
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1983.0;18314364418.7078
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1983.0;19385304449.37
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1983.0;17140058765.9158
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1983.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1983.0;17786554173.2759
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1984.0;16563864377.3291
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1984.0;24710305080.89
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1984.0;16391291180.1326
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1984.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1984.0;17732934993.2018
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1985.0;15818492271.929
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1985.0;38302403273.95
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1985.0;17776651903.182
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1985.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1985.0;12921130271.3663
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1986.0;17038985216.6532
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1986.0;33592580690.4701
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1986.0;17486411449.5757
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1986.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1986.0;14231750254.4711
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1987.0;18211636976.1514
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1987.0;33781853910.0
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1987.0;19477194741.1034
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1987.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1987.0;17453545292.3168
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1988.0;18807996682.1739
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1988.0;48984701330.0
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1988.0;22111392789.7933
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1988.0;
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1988.0;20846130415.3237
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1989.0;23242900390.625
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1989.0;46118793490.0
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1989.0;24133378144.8051
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1989.0;106426912643.659
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1989.0;20522919802.3775
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1990.0;32160000000.0
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1990.0;38461758920.0
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1990.0;27132072318.021
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Russian Federation;RUS;1990.0;92740965658.0846
Imports of goods and services (current US$);NE.IMP.GNFS.CD;South Africa;ZAF;1990.0;21016334464.3832
Imports of goods and services (current US$);NE.IMP.GNFS.CD;Brazil;BRA;1991.0;47710000000.0
Imports of goods and services (current US$);NE.IMP.GNFS.CD;China;CHN;1991.0;43941659170.0
Imports of goods and services (current US$);NE.IMP.GNFS.CD;India;IND;1991.0;22941358805.152
