SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1970.0;126388646742.408
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1970.0;45577701938.94
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1970.0;52515817170.1124
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1970.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1970.0;65914413144.0436
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1971.0;141356698022.536
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1971.0;51229336978.779
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1971.0;53833938580.2602
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1971.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1971.0;66555509479.4765
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1972.0;161628970049.285
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1972.0;54661702564.6245
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1972.0;55848584090.9898
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1972.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1972.0;66254121923.3593
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1973.0;189318486281.921
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1973.0;59198623878.9618
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1973.0;56179622751.7484
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1973.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1973.0;68344606017.3503
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1974.0;205123356858.96
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1974.0;60027404614.5936
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1974.0;57058800394.9392
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1974.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1974.0;68023853287.9441
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1975.0;214928313570.469
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1975.0;69451707129.344
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1975.0;61291866743.7386
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1975.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1975.0;67772378784.107
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1976.0;240102333397.367
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1976.0;67784866161.0691
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1976.0;66445385824.2943
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1976.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1976.0;70626968976.2538
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1977.0;247561935708.722
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1977.0;76732468499.1638
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1977.0;70978732417.9435
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1977.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1977.0;70214981733.2539
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1978.0;275362122498.53
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1978.0;88469319799.5791
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1978.0;75676727471.0141
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1978.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1978.0;72218458921.9043
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1979.0;294078978724.011
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1979.0;95723804023.1447
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1979.0;73437270710.8126
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1979.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1979.0;75830881987.0571
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1980.0;321319001361.092
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1980.0;108640324713.883
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1980.0;77586879142.7991
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1980.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1980.0;78899580081.0611
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1981.0;292889102632.273
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1981.0;110675119069.274
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1981.0;84022426149.9992
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1981.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1981.0;81907455166.0024
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1982.0;292956501872.167
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1982.0;116867971455.244
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1982.0;85668547460.6343
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1982.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1982.0;80888056079.1355
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1983.0;275833595470.312
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1983.0;128988268267.786
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1983.0;92135498783.6689
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1983.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1983.0;78268984579.0312
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1984.0;294041486928.686
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1984.0;147655294745.498
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1984.0;95750427077.524
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1984.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1984.0;81403415162.6498
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1985.0;318356353567.448
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1985.0;174815375923.969
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;India;IND;1985.0;100026105789.745
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Russian Federation;RUS;1985.0;
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;South Africa;ZAF;1985.0;79659049447.5843
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;Brazil;BRA;1986.0;355803966854.679
Industry (including construction), value added (constant 2010 US$);NV.IND.TOTL.KD;China;CHN;1986.0;192686178523.484
