SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1970.0;13622585421.9581
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1970.0;37293850028.4345
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1970.0;13563974410.7213
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1970.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1970.0;6656997339.86386
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1971.0;16100750952.153
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1971.0;41835242505.4838
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1971.0;15081238563.2418
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1971.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1971.0;7028636886.63202
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1972.0;19166337452.185
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1972.0;48621442252.0155
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1972.0;16013474323.2673
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1972.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1972.0;7649026876.55691
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1973.0;26496716609.6275
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1973.0;59329446064.1399
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1973.0;18255996684.8696
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1973.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1973.0;11059729632.3172
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1974.0;36606872242.0549
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1974.0;61176830511.9315
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1974.0;22568187733.4708
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1974.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1974.0;14200627761.2049
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1975.0;43881294192.9237
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1975.0;74131627056.6728
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1975.0;22846921732.9662
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1975.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1975.0;14957246791.2357
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1976.0;53406528922.4241
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1976.0;69331410322.4477
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1976.0;25145699499.2415
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1976.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1976.0;14443999987.44
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1977.0;59989144498.933
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1977.0;81698783507.3743
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1977.0;29643225639.7244
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1977.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1977.0;15572149986.459
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1978.0;71325709050.1031
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1978.0;71348003752.0325
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1978.0;34770502916.4936
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1978.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1978.0;18535699983.882
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1979.0;82157935532.0915
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1979.0;83712365660.8696
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1979.0;39765906161.0656
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1979.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1979.0;24486278578.0577
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1980.0;93051936803.5367
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1980.0;91864345908.3333
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1980.0;47207847596.4436
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1980.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1980.0;37571561938.6795
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1981.0;103428380079.121
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1981.0;90042866563.4921
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1981.0;50506697608.2436
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1981.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1981.0;36473072039.9941
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1982.0;115451747816.331
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1982.0;91514706229.0076
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;India;IND;1982.0;52486618689.3772
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Russian Federation;RUS;1982.0;
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;South Africa;ZAF;1982.0;32023846899.7638
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;Brazil;BRA;1983.0;80274258180.7172
Industry (including construction), value added (current US$);NV.IND.TOTL.CD;China;CHN;1983.0;102032264417.625
