SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Manufacturing, value added (current US$);NV.IND.MANF.CD;Brazil;BRA;1970.0;10427349463.2674
Manufacturing, value added (current US$);NV.IND.MANF.CD;China;CHN;1970.0;
Manufacturing, value added (current US$);NV.IND.MANF.CD;India;IND;1970.0;9024134410.928
Manufacturing, value added (current US$);NV.IND.MANF.CD;Russian Federation;RUS;1970.0;
Manufacturing, value added (current US$);NV.IND.MANF.CD;South Africa;ZAF;1970.0;3987198406.71552
Manufacturing, value added (current US$);NV.IND.MANF.CD;Brazil;BRA;1971.0;12302545578.472
Manufacturing, value added (current US$);NV.IND.MANF.CD;China;CHN;1971.0;
Manufacturing, value added (current US$);NV.IND.MANF.CD;India;IND;1971.0;10090718149.2864
Manufacturing, value added (current US$);NV.IND.MANF.CD;Russian Federation;RUS;1971.0;
Manufacturing, value added (current US$);NV.IND.MANF.CD;South Africa;ZAF;1971.0;4249060572.60288
Manufacturing, value added (current US$);NV.IND.MANF.CD;Brazil;BRA;1972.0;14659092894.4013
Manufacturing, value added (current US$);NV.IND.MANF.CD;China;CHN;1972.0;
Manufacturing, value added (current US$);NV.IND.MANF.CD;India;IND;1972.0;10792764134.9856
Manufacturing, value added (current US$);NV.IND.MANF.CD;Russian Federation;RUS;1972.0;
Manufacturing, value added (current US$);NV.IND.MANF.CD;South Africa;ZAF;1972.0;4331846853.56029
Manufacturing, value added (current US$);NV.IND.MANF.CD;Brazil;BRA;1973.0;20247558633.575
Manufacturing, value added (current US$);NV.IND.MANF.CD;China;CHN;1973.0;
Manufacturing, value added (current US$);NV.IND.MANF.CD;India;IND;1973.0;12840361714.1791
Manufacturing, value added (current US$);NV.IND.MANF.CD;Russian Federation;RUS;1973.0;
Manufacturing, value added (current US$);NV.IND.MANF.CD;South Africa;ZAF;1973.0;6008999682.96584
Manufacturing, value added (current US$);NV.IND.MANF.CD;Brazil;BRA;1974.0;27916785406.0384
Manufacturing, value added (current US$);NV.IND.MANF.CD;China;CHN;1974.0;
Manufacturing, value added (current US$);NV.IND.MANF.CD;India;IND;1974.0;16268417258.373
Manufacturing, value added (current US$);NV.IND.MANF.CD;Russian Federation;RUS;1974.0;
Manufacturing, value added (current US$);NV.IND.MANF.CD;South Africa;ZAF;1974.0;7340940125.70109
Manufacturing, value added (current US$);NV.IND.MANF.CD;Brazil;BRA;1975.0;33056629539.4761
Manufacturing, value added (current US$);NV.IND.MANF.CD;China;CHN;1975.0;
Manufacturing, value added (current US$);NV.IND.MANF.CD;India;IND;1975.0;15596600730.4424
Manufacturing, value added (current US$);NV.IND.MANF.CD;Russian Federation;RUS;1975.0;
