SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1970.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1970.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1970.0;3650000.09536743
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1970.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1970.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1971.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1971.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1971.0;5619999.88555908
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1971.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1971.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1972.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1972.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1972.0;310000.002384186
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1972.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1972.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1973.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1973.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1973.0;1960000.03814697
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1973.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1973.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1974.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1974.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1974.0;7130000.11444092
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1974.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1974.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1975.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1975.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1975.0;13960000.038147
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1975.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1975.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1976.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1976.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1976.0;6590000.15258789
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1976.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1976.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1977.0;9999.99977648258
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1977.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1977.0;8510000.22888184
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1977.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1977.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1978.0;9999.99977648258
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1978.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1978.0;2500000.0
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1978.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1978.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1979.0;9999.99977648258
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1979.0;9999.99977648258
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1979.0;4869999.88555908
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1979.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1979.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1980.0;9999.99977648258
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1980.0;79999.9982118607
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1980.0;3160000.08583069
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1980.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1980.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1981.0;9999.99977648258
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1981.0;1399999.97615814
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1981.0;2730000.01907349
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1981.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1981.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1982.0;9999.99977648258
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1982.0;3140000.10490417
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;India;IND;1982.0;2180000.0667572
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Russian Federation;RUS;1982.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;South Africa;ZAF;1982.0;
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;Brazil;BRA;1983.0;19999.9995529652
Net bilateral aid flows from DAC donors, Australia (current US$);DC.DAC.AUSL.CD;China;CHN;1983.0;6449999.80926514
