SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1970.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1970.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1970.0;4150000.09536743
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1970.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;South Africa;ZAF;1970.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1971.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1971.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1971.0;10810000.4196167
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1971.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;South Africa;ZAF;1971.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1972.0;79999.9982118607
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1972.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1972.0;19319999.6948242
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1972.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;South Africa;ZAF;1972.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1973.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1973.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1973.0;5880000.11444092
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1973.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;South Africa;ZAF;1973.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1974.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1974.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1974.0;49430000.3051758
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1974.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;South Africa;ZAF;1974.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1975.0;330000.013113022
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1975.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1975.0;99540000.9155273
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1975.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;South Africa;ZAF;1975.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1976.0;9999.99977648258
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1976.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1976.0;12180000.3051758
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1976.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;South Africa;ZAF;1976.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1977.0;9999.99977648258
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1977.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1977.0;35869998.9318848
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1977.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;South Africa;ZAF;1977.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1978.0;200000.002980232
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1978.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1978.0;27729999.5422363
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1978.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;South Africa;ZAF;1978.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1979.0;170000.001788139
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1979.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1979.0;34740001.6784668
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1979.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;South Africa;ZAF;1979.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1980.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1980.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1980.0;85480003.3569336
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1980.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;South Africa;ZAF;1980.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1981.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1981.0;7159999.84741211
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1981.0;152830001.831055
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1981.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;South Africa;ZAF;1981.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Brazil;BRA;1982.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;China;CHN;1982.0;
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;India;IND;1982.0;91839996.3378906
Net bilateral aid flows from DAC donors, European Union institutions (current US$);DC.DAC.CECL.CD;Russian Federation;RUS;1982.0;
