SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Brazil;BRA;1970.0;699999.988079071
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;China;CHN;1970.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;India;IND;1970.0;15619999.8855591
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Russian Federation;RUS;1970.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;South Africa;ZAF;1970.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Brazil;BRA;1971.0;239999.994635582
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;China;CHN;1971.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;India;IND;1971.0;11439999.5803833
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Russian Federation;RUS;1971.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;South Africa;ZAF;1971.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Brazil;BRA;1972.0;850000.023841858
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;China;CHN;1972.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;India;IND;1972.0;12739999.7711182
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Russian Federation;RUS;1972.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;South Africa;ZAF;1972.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Brazil;BRA;1973.0;1409999.9666214
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;China;CHN;1973.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;India;IND;1973.0;24670000.0762939
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Russian Federation;RUS;1973.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;South Africa;ZAF;1973.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Brazil;BRA;1974.0;1860000.01430511
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;China;CHN;1974.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;India;IND;1974.0;32500000.0
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Russian Federation;RUS;1974.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;South Africa;ZAF;1974.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Brazil;BRA;1975.0;1960000.03814697
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;China;CHN;1975.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;India;IND;1975.0;55310001.373291
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Russian Federation;RUS;1975.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;South Africa;ZAF;1975.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Brazil;BRA;1976.0;3660000.08583069
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;China;CHN;1976.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;India;IND;1976.0;58319999.6948242
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Russian Federation;RUS;1976.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;South Africa;ZAF;1976.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Brazil;BRA;1977.0;2220000.02861023
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;China;CHN;1977.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;India;IND;1977.0;71339996.3378906
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Russian Federation;RUS;1977.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;South Africa;ZAF;1977.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Brazil;BRA;1978.0;3240000.00953674
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;China;CHN;1978.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;India;IND;1978.0;79029998.7792969
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Russian Federation;RUS;1978.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;South Africa;ZAF;1978.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Brazil;BRA;1979.0;2779999.97138977
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;China;CHN;1979.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;India;IND;1979.0;90589996.3378906
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Russian Federation;RUS;1979.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;South Africa;ZAF;1979.0;
Net bilateral aid flows from DAC donors, Netherlands (current US$);DC.DAC.NLDL.CD;Brazil;BRA;1980.0;6969999.79019165
