SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1970.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1970.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1970.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1970.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1970.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1971.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1971.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1971.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1971.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1971.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1972.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1972.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1972.0;449999.988079071
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1972.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1972.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1973.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1973.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1973.0;219999.998807907
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1973.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1973.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1974.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1974.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1974.0;200000.002980232
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1974.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1974.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1975.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1975.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1975.0;730000.019073486
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1975.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1975.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1976.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1976.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1976.0;370000.004768372
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1976.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1976.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1977.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1977.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1977.0;509999.990463257
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1977.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1977.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1978.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1978.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1978.0;670000.016689301
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1978.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1978.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1979.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1979.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1979.0;360000.014305115
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1979.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1979.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1980.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1980.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1980.0;330000.013113022
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1980.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1980.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1981.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1981.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1981.0;270000.010728836
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1981.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1981.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1982.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1982.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1982.0;140000.000596046
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1982.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1982.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1983.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1983.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1983.0;9999.99977648258
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1983.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1983.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1984.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1984.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1984.0;19999.9995529652
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1984.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1984.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1985.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1985.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1985.0;9999.99977648258
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1985.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1985.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1986.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1986.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1986.0;100000.001490116
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1986.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1986.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1987.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1987.0;200000.002980232
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1987.0;140000.000596046
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1987.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1987.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1988.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1988.0;209999.993443489
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1988.0;140000.000596046
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1988.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1988.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1989.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1989.0;439999.997615814
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1989.0;140000.000596046
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1989.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1989.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1990.0;29999.9993294477
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1990.0;1080000.04291534
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1990.0;200000.002980232
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1990.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1990.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1991.0;19999.9995529652
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1991.0;209999.993443489
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1991.0;79999.9982118607
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1991.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1991.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1992.0;50000.0007450581
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1992.0;790000.021457672
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1992.0;59999.9986588955
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1992.0;9999.99977648258
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1992.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1993.0;79999.9982118607
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1993.0;610000.014305115
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1993.0;159999.996423721
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1993.0;39999.9991059303
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1993.0;159999.996423721
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1994.0;79999.9982118607
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1994.0;1110000.01430511
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1994.0;469999.998807907
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1994.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1994.0;270000.010728836
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1995.0;200000.002980232
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1995.0;1480000.01907349
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1995.0;579999.983310699
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1995.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1995.0;409999.996423721
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Brazil;BRA;1996.0;189999.997615814
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;China;CHN;1996.0;1279999.97138977
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;India;IND;1996.0;569999.992847443
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;Russian Federation;RUS;1996.0;
Net bilateral aid flows from DAC donors, New Zealand (current US$);DC.DAC.NZLL.CD;South Africa;ZAF;1996.0;379999.995231628
