SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1970.0;9999.99977648258
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1970.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1970.0;2589999.91416931
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1970.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1970.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1971.0;19999.9995529652
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1971.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1971.0;4820000.17166138
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1971.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1971.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1972.0;29999.9993294477
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1972.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1972.0;5849999.90463257
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1972.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1972.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1973.0;59999.9986588955
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1973.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1973.0;8050000.19073486
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1973.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1973.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1974.0;140000.000596046
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1974.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1974.0;7820000.17166138
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1974.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1974.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1975.0;119999.997317791
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1975.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1975.0;8920000.07629395
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1975.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1975.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1976.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1976.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1976.0;9630000.11444092
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1976.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1976.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1977.0;19999.9995529652
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1977.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1977.0;15239999.7711182
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1977.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1977.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1978.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1978.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1978.0;21219999.3133545
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1978.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1978.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1979.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1979.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1979.0;22049999.2370605
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1979.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1979.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1980.0;59999.9986588955
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1980.0;519999.980926514
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1980.0;22360000.6103516
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1980.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1980.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1981.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1981.0;1200000.04768372
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1981.0;19680000.3051758
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1981.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1981.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1982.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1982.0;779999.971389771
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1982.0;20950000.7629395
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1982.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1982.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1983.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1983.0;5840000.15258789
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1983.0;20389999.3896484
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1983.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1983.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1984.0;289999.99165535
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1984.0;11859999.6566772
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1984.0;19399999.6185303
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1984.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;South Africa;ZAF;1984.0;
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Brazil;BRA;1985.0;340000.003576279
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;China;CHN;1985.0;3589999.91416931
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;India;IND;1985.0;23399999.6185303
Net bilateral aid flows from DAC donors, Norway (current US$);DC.DAC.NORL.CD;Russian Federation;RUS;1985.0;
