SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Brazil;BRA;1970.0;730000.019073486
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;China;CHN;1970.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;India;IND;1970.0;4039999.96185303
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Russian Federation;RUS;1970.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;South Africa;ZAF;1970.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Brazil;BRA;1971.0;159999.996423721
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;China;CHN;1971.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;India;IND;1971.0;4760000.22888184
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Russian Federation;RUS;1971.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;South Africa;ZAF;1971.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Brazil;BRA;1972.0;400000.005960464
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;China;CHN;1972.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;India;IND;1972.0;3440000.05722046
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Russian Federation;RUS;1972.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;South Africa;ZAF;1972.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Brazil;BRA;1973.0;319999.992847443
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;China;CHN;1973.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;India;IND;1973.0;4860000.1335144
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Russian Federation;RUS;1973.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;South Africa;ZAF;1973.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Brazil;BRA;1974.0;579999.983310699
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;China;CHN;1974.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;India;IND;1974.0;4429999.82833862
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Russian Federation;RUS;1974.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;South Africa;ZAF;1974.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Brazil;BRA;1975.0;209999.993443489
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;China;CHN;1975.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;India;IND;1975.0;14420000.0762939
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Russian Federation;RUS;1975.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;South Africa;ZAF;1975.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Brazil;BRA;1976.0;250000.0
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;China;CHN;1976.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;India;IND;1976.0;5539999.96185303
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Russian Federation;RUS;1976.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;South Africa;ZAF;1976.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Brazil;BRA;1977.0;449999.988079071
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;China;CHN;1977.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;India;IND;1977.0;4849999.90463257
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Russian Federation;RUS;1977.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;South Africa;ZAF;1977.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Brazil;BRA;1978.0;670000.016689301
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;China;CHN;1978.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;India;IND;1978.0;9020000.45776367
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Russian Federation;RUS;1978.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;South Africa;ZAF;1978.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Brazil;BRA;1979.0;699999.988079071
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;China;CHN;1979.0;59999.9986588955
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;India;IND;1979.0;19510000.2288818
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Russian Federation;RUS;1979.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;South Africa;ZAF;1979.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Brazil;BRA;1980.0;610000.014305115
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;China;CHN;1980.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;India;IND;1980.0;16600000.3814697
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Russian Federation;RUS;1980.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;South Africa;ZAF;1980.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Brazil;BRA;1981.0;319999.992847443
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;China;CHN;1981.0;150000.005960464
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;India;IND;1981.0;5469999.79019165
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;Russian Federation;RUS;1981.0;
Net bilateral aid flows from DAC donors, Switzerland (current US$);DC.DAC.CHEL.CD;South Africa;ZAF;1981.0;
