SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Brazil;BRA;1970.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;China;CHN;1970.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;India;IND;1970.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Russian Federation;RUS;1970.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;South Africa;ZAF;1970.0;888999644.755742
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Brazil;BRA;1971.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;China;CHN;1971.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;India;IND;1971.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Russian Federation;RUS;1971.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;South Africa;ZAF;1971.0;1153656340.36181
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Brazil;BRA;1972.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;China;CHN;1972.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;India;IND;1972.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Russian Federation;RUS;1972.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;South Africa;ZAF;1972.0;657098394.537359
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Brazil;BRA;1973.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;China;CHN;1973.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;India;IND;1973.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Russian Federation;RUS;1973.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;South Africa;ZAF;1973.0;101304542.647982
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Brazil;BRA;1974.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;China;CHN;1974.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;India;IND;1974.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Russian Federation;RUS;1974.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;South Africa;ZAF;1974.0;1279849961.17199
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Brazil;BRA;1975.0;-479000000.0
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;China;CHN;1975.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;India;IND;1975.0;-441679812.433282
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Russian Federation;RUS;1975.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;South Africa;ZAF;1975.0;2545114642.78841
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Brazil;BRA;1976.0;404000000.0
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;China;CHN;1976.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;India;IND;1976.0;-289390000.965666
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Russian Federation;RUS;1976.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;South Africa;ZAF;1976.0;1316749998.855
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Brazil;BRA;1977.0;-681000000.0
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;China;CHN;1977.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;India;IND;1977.0;-452982178.418288
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Russian Federation;RUS;1977.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;South Africa;ZAF;1977.0;-638249999.445
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Brazil;BRA;1978.0;275000000.0
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;China;CHN;1978.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;India;IND;1978.0;432158231.244485
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Russian Federation;RUS;1978.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;South Africa;ZAF;1978.0;-1059149999.079
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Brazil;BRA;1979.0;1273000000.0
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;China;CHN;1979.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;India;IND;1979.0;303290753.119627
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Russian Federation;RUS;1979.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;South Africa;ZAF;1979.0;-2950852511.22824
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Brazil;BRA;1980.0;-317000000.0
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;China;CHN;1980.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;India;IND;1980.0;-371939164.871581
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Russian Federation;RUS;1980.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;South Africa;ZAF;1980.0;-2407689991.3313
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Brazil;BRA;1981.0;-402000000.0
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;China;CHN;1981.0;
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;India;IND;1981.0;-327581364.095618
Net errors and omissions (BoP, current US$);BN.KAC.EOMS.CD;Russian Federation;RUS;1981.0;
