SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1970.0;136850006.103516
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1970.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1970.0;824659973.144531
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1970.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1970.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1971.0;120069999.694824
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1971.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1971.0;1002400024.41406
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1971.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1971.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1972.0;94430000.3051758
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1972.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1972.0;613900024.414063
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1972.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1972.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1973.0;65099998.4741211
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1973.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1973.0;778710021.972656
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1973.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1973.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1974.0;129809997.558594
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1974.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1974.0;1230400024.41406
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1974.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1974.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1975.0;132580001.831055
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1975.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1975.0;1605189941.40625
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1975.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1975.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1976.0;92529998.7792969
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1976.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1976.0;1744609985.35156
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1976.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1976.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1977.0;67559997.5585938
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1977.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1977.0;988809997.558594
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1977.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1977.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1978.0;89279998.7792969
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1978.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1978.0;1131150024.41406
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1978.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1978.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1979.0;87760002.1362305
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1979.0;16850000.3814697
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1979.0;1363189941.40625
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1979.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1979.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1980.0;83150001.5258789
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1980.0;65500000.0
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1980.0;2185959960.9375
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1980.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1980.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1981.0;227130004.882813
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1981.0;475899993.896484
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1981.0;1972469970.70313
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1981.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1981.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1982.0;177690002.441406
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1982.0;523380004.882813
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1982.0;1635750000.0
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1982.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1982.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1983.0;106720001.220703
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1983.0;668799987.792969
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1983.0;1830510009.76563
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1983.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1983.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1984.0;153559997.558594
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1984.0;797479980.46875
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1984.0;1665939941.40625
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1984.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1984.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1985.0;84970001.2207031
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1985.0;938750000.0
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1985.0;1587010009.76563
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1985.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1985.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1986.0;147740005.493164
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1986.0;1095140014.64844
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1986.0;1989939941.40625
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1986.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1986.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1987.0;293089996.337891
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1987.0;1377290039.0625
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1987.0;1695479980.46875
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1987.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1987.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1988.0;218750000.0
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1988.0;1916119995.11719
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1988.0;1947650024.41406
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1988.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1988.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1989.0;232399993.896484
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1989.0;2067250000.0
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1989.0;1766109985.35156
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1989.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1989.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1990.0;174380004.882813
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;China;CHN;1990.0;2030599975.58594
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;India;IND;1990.0;1395000000.0
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Russian Federation;RUS;1990.0;254020004.272461
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;South Africa;ZAF;1990.0;
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;Brazil;BRA;1991.0;196139999.389648
