SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1970.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1970.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1970.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1970.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1970.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1971.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1971.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1971.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1971.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1971.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1972.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1972.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1972.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1972.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1972.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1973.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1973.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1973.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1973.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1973.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1974.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1974.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1974.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1974.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1974.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1975.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1975.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1975.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1975.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1975.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1976.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1976.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1976.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1976.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1976.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1977.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1977.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1977.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1977.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1977.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1978.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1978.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1978.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1978.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1978.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1979.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1979.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1979.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1979.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1979.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1980.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1980.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1980.0;9210000.03814697
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1980.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1980.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1981.0;1820000.05245209
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1981.0;400000.005960464
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1981.0;11710000.038147
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1981.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1981.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1982.0;2589999.91416931
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1982.0;3450000.04768372
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1982.0;12670000.0762939
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1982.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1982.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1983.0;980000.019073486
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1983.0;2980000.01907349
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1983.0;14750000.0
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1983.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1983.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1984.0;-319999.992847443
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1984.0;10329999.9237061
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1984.0;13020000.4577637
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1984.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1984.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1985.0;1259999.99046326
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;China;CHN;1985.0;19709999.0844727
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;India;IND;1985.0;34880001.0681152
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Russian Federation;RUS;1985.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;South Africa;ZAF;1985.0;
Net official flows from UN agencies, IFAD (current US$);DT.NFL.IFAD.CD;Brazil;BRA;1986.0;500000.0
