SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;Brazil;BRA;1970.0;-0.0010000001
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;China;CHN;1970.0;
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;India;IND;1970.0;-2840000000.0
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;Russian Federation;RUS;1970.0;
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;South Africa;ZAF;1970.0;-474000000.0
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;Brazil;BRA;1971.0;-0.0010000001
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;China;CHN;1971.0;
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;India;IND;1971.0;-2910000000.0
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;Russian Federation;RUS;1971.0;
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;South Africa;ZAF;1971.0;-469000000.0
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;Brazil;BRA;1972.0;-0.0010000001
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;China;CHN;1972.0;
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;India;IND;1972.0;-3020000000.0
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;Russian Federation;RUS;1972.0;
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;South Africa;ZAF;1972.0;-540000000.0
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;Brazil;BRA;1973.0;-0.0020000001
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;China;CHN;1973.0;
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;India;IND;1973.0;-3250000000.0
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;Russian Federation;RUS;1973.0;
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;South Africa;ZAF;1973.0;-642000000.0
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;Brazil;BRA;1974.0;-0.0020000001
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;China;CHN;1974.0;
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;India;IND;1974.0;-2910000000.0
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;Russian Federation;RUS;1974.0;
Net primary income (Net income from abroad) (current LCU);NY.GSR.NFCY.CN;South Africa;ZAF;1974.0;-849000000.0
