SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;Brazil;BRA;1970.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;China;CHN;1970.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;India;IND;1970.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;Russian Federation;RUS;1970.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;South Africa;ZAF;1970.0;15399993.9
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;Brazil;BRA;1971.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;China;CHN;1971.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;India;IND;1971.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;Russian Federation;RUS;1971.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;South Africa;ZAF;1971.0;15378211.98
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;Brazil;BRA;1972.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;China;CHN;1972.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;India;IND;1972.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;Russian Federation;RUS;1972.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;South Africa;ZAF;1972.0;16872322.08
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;Brazil;BRA;1973.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;China;CHN;1973.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;India;IND;1973.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;Russian Federation;RUS;1973.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;South Africa;ZAF;1973.0;15878270.15
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;Brazil;BRA;1974.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;China;CHN;1974.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;India;IND;1974.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;Russian Federation;RUS;1974.0;
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;South Africa;ZAF;1974.0;26408124.92
Personal remittances, received (current US$);BX.TRF.PWKR.CD.DT;Brazil;BRA;1975.0;82000000.0
