SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1970.0;247314000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1970.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1970.0;-41662000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1970.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1970.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1971.0;177623000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1971.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1971.0;-22484000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1971.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1971.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1972.0;619416000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1972.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1972.0;-22916000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1972.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1972.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1973.0;320560000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1973.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1973.0;-37771000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1973.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1973.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1974.0;430679000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1974.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1974.0;13387000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1974.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1974.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1975.0;150277000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1975.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1975.0;29975000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1975.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1975.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1976.0;747531000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1976.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1976.0;-10805000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1976.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1976.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1977.0;786112000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1977.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1977.0;-31042000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1977.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1977.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1978.0;616003000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1978.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1978.0;-20596000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1978.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1978.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1979.0;590218000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1979.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1979.0;-28285000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1979.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1979.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1980.0;733009000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1980.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1980.0;-10639000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1980.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1980.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1981.0;-43314000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1981.0;342298000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1981.0;20896000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1981.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1981.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1982.0;1116433000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1982.0;79744000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1982.0;327588000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1982.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1982.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1983.0;391957000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1983.0;259096000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1983.0;64352000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1983.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1983.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1984.0;345860000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1984.0;-13892000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1984.0;458135000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1984.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1984.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1985.0;694947000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1985.0;1269076000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1985.0;275161000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1985.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1985.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1986.0;454993000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1986.0;905029000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1986.0;541321000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1986.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;South Africa;ZAF;1986.0;
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Brazil;BRA;1987.0;705413000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;China;CHN;1987.0;259295000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;India;IND;1987.0;18346000.0
PPG, other private creditors (NFL, current US$);DT.NFL.PROP.CD;Russian Federation;RUS;1987.0;
