SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Brazil;BRA;1970.0;443486000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;China;CHN;1970.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;India;IND;1970.0;-48444000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Russian Federation;RUS;1970.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;South Africa;ZAF;1970.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Brazil;BRA;1971.0;512392000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;China;CHN;1971.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;India;IND;1971.0;-19010000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Russian Federation;RUS;1971.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;South Africa;ZAF;1971.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Brazil;BRA;1972.0;1458936000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;China;CHN;1972.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;India;IND;1972.0;-38383000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Russian Federation;RUS;1972.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;South Africa;ZAF;1972.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Brazil;BRA;1973.0;1400323000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;China;CHN;1973.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;India;IND;1973.0;-61205000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Russian Federation;RUS;1973.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;South Africa;ZAF;1973.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Brazil;BRA;1974.0;2502540000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;China;CHN;1974.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;India;IND;1974.0;4500000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Russian Federation;RUS;1974.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;South Africa;ZAF;1974.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Brazil;BRA;1975.0;2335147000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;China;CHN;1975.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;India;IND;1975.0;27033000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Russian Federation;RUS;1975.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;South Africa;ZAF;1975.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Brazil;BRA;1976.0;3413841000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;China;CHN;1976.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;India;IND;1976.0;-13428000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Russian Federation;RUS;1976.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;South Africa;ZAF;1976.0;
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;Brazil;BRA;1977.0;3835219000.0
PPG, private creditors (NFL, current US$);DT.NFL.PRVT.CD;China;CHN;1977.0;
