SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;Brazil;BRA;1970.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;China;CHN;1970.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;India;IND;1970.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;Russian Federation;RUS;1970.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;South Africa;ZAF;1970.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;Brazil;BRA;1971.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;China;CHN;1971.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;India;IND;1971.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;Russian Federation;RUS;1971.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;South Africa;ZAF;1971.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;Brazil;BRA;1972.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;China;CHN;1972.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;India;IND;1972.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;Russian Federation;RUS;1972.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;South Africa;ZAF;1972.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;Brazil;BRA;1973.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;China;CHN;1973.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;India;IND;1973.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;Russian Federation;RUS;1973.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;South Africa;ZAF;1973.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;Brazil;BRA;1974.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;China;CHN;1974.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;India;IND;1974.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;Russian Federation;RUS;1974.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;South Africa;ZAF;1974.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;Brazil;BRA;1975.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;China;CHN;1975.0;
PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;India;IND;1975.0;
