SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;Brazil;BRA;1970.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;China;CHN;1970.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;India;IND;1970.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;Russian Federation;RUS;1970.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;South Africa;ZAF;1970.0;60199975.9440896
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;Brazil;BRA;1971.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;China;CHN;1971.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;India;IND;1971.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;Russian Federation;RUS;1971.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;South Africa;ZAF;1971.0;65698326.2825183
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;Brazil;BRA;1972.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;China;CHN;1972.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;India;IND;1972.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;Russian Federation;RUS;1972.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;South Africa;ZAF;1972.0;93885181.336083
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;Brazil;BRA;1973.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;China;CHN;1973.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;India;IND;1973.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;Russian Federation;RUS;1973.0;
Secondary income, other sectors, payments (BoP, current US$);BM.TRF.PRVT.CD;South Africa;ZAF;1973.0;125383798.268598
