SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1970.0;1141660000.0
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1970.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1970.0;763320000.0
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1970.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1970.0;345530000.0
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1971.0;1696186417.94277
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1971.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1971.0;942439552.948743
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1971.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1971.0;265943108.504363
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1972.0;4132748276.74583
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1972.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1972.0;916317572.716268
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1972.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1972.0;608928939.936952
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1973.0;6359911334.0128
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1973.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1973.0;848791785.255795
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1973.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1973.0;448872067.192077
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1974.0;5215752779.69263
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1974.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1974.0;1027733777.72385
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1974.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1974.0;377048386.488135
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1975.0;3980374681.37877
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1975.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1975.0;1089132799.80348
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1975.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1975.0;488829997.015792
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1976.0;6488040931.77382
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1976.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1976.0;2791702339.02209
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1976.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1976.0;425227626.085706
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1977.0;7192021622.37625
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1977.0;2345000000.0
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1977.0;4872016471.72272
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1977.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1977.0;416029736.222766
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1978.0;11826399177.1808
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1978.0;1557000000.0
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1978.0;6426350817.3537
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1978.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1978.0;423160791.124262
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1979.0;8966257354.82902
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1979.0;2154000000.0
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1979.0;7432479364.91613
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1979.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1979.0;434460236.373464
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1980.0;5769329542.0342
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1980.0;2545179859.04546
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1980.0;6943862180.06385
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1980.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1980.0;725838456.509501
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1981.0;6603517844.25765
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1981.0;5058089042.8511
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1981.0;4692882371.82402
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1981.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1981.0;666224340.921416
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1982.0;3927907217.94856
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1982.0;11348870473.3587
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1982.0;4315146405.27743
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1982.0;
Total reserves minus gold (current US$);FI.RES.XGLD.CD;South Africa;ZAF;1982.0;485317948.781968
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Brazil;BRA;1983.0;4355083756.47813
Total reserves minus gold (current US$);FI.RES.XGLD.CD;China;CHN;1983.0;14986652777.5854
Total reserves minus gold (current US$);FI.RES.XGLD.CD;India;IND;1983.0;4937274460.15733
Total reserves minus gold (current US$);FI.RES.XGLD.CD;Russian Federation;RUS;1983.0;
