SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Trade (% of GDP);NE.TRD.GNFS.ZS;Brazil;BRA;1970.0;14.4791954967734
Trade (% of GDP);NE.TRD.GNFS.ZS;China;CHN;1970.0;4.95240601833575
Trade (% of GDP);NE.TRD.GNFS.ZS;India;IND;1970.0;7.66176933796381
Trade (% of GDP);NE.TRD.GNFS.ZS;Russian Federation;RUS;1970.0;
Trade (% of GDP);NE.TRD.GNFS.ZS;South Africa;ZAF;1970.0;45.8346001824263
Trade (% of GDP);NE.TRD.GNFS.ZS;Brazil;BRA;1971.0;14.5512801755657
Trade (% of GDP);NE.TRD.GNFS.ZS;China;CHN;1971.0;4.92083519882779
Trade (% of GDP);NE.TRD.GNFS.ZS;India;IND;1971.0;7.66960655848069
Trade (% of GDP);NE.TRD.GNFS.ZS;Russian Federation;RUS;1971.0;
Trade (% of GDP);NE.TRD.GNFS.ZS;South Africa;ZAF;1971.0;46.6272433473149
Trade (% of GDP);NE.TRD.GNFS.ZS;Brazil;BRA;1972.0;16.103251255854
Trade (% of GDP);NE.TRD.GNFS.ZS;China;CHN;1972.0;5.75536749725748
Trade (% of GDP);NE.TRD.GNFS.ZS;India;IND;1972.0;7.73639959731312
Trade (% of GDP);NE.TRD.GNFS.ZS;Russian Federation;RUS;1972.0;
Trade (% of GDP);NE.TRD.GNFS.ZS;South Africa;ZAF;1972.0;46.8022901693263
Trade (% of GDP);NE.TRD.GNFS.ZS;Brazil;BRA;1973.0;17.7732588226592
Trade (% of GDP);NE.TRD.GNFS.ZS;China;CHN;1973.0;8.00014512734925
Trade (% of GDP);NE.TRD.GNFS.ZS;India;IND;1973.0;8.93209601875979
Trade (% of GDP);NE.TRD.GNFS.ZS;Russian Federation;RUS;1973.0;
Trade (% of GDP);NE.TRD.GNFS.ZS;South Africa;ZAF;1973.0;46.7240531234629
Trade (% of GDP);NE.TRD.GNFS.ZS;Brazil;BRA;1974.0;21.8968474924518
Trade (% of GDP);NE.TRD.GNFS.ZS;China;CHN;1974.0;10.3334865791986
Trade (% of GDP);NE.TRD.GNFS.ZS;India;IND;1974.0;10.8518902537537
Trade (% of GDP);NE.TRD.GNFS.ZS;Russian Federation;RUS;1974.0;
Trade (% of GDP);NE.TRD.GNFS.ZS;South Africa;ZAF;1974.0;54.8700519792083
Trade (% of GDP);NE.TRD.GNFS.ZS;Brazil;BRA;1975.0;19.0441531301006
Trade (% of GDP);NE.TRD.GNFS.ZS;China;CHN;1975.0;9.55420299391347
Trade (% of GDP);NE.TRD.GNFS.ZS;India;IND;1975.0;12.2939782139566
Trade (% of GDP);NE.TRD.GNFS.ZS;Russian Federation;RUS;1975.0;
Trade (% of GDP);NE.TRD.GNFS.ZS;South Africa;ZAF;1975.0;56.0774852763783
Trade (% of GDP);NE.TRD.GNFS.ZS;Brazil;BRA;1976.0;16.4683313792368
Trade (% of GDP);NE.TRD.GNFS.ZS;China;CHN;1976.0;8.83691360503246
Trade (% of GDP);NE.TRD.GNFS.ZS;India;IND;1976.0;12.8012030727464
Trade (% of GDP);NE.TRD.GNFS.ZS;Russian Federation;RUS;1976.0;
Trade (% of GDP);NE.TRD.GNFS.ZS;South Africa;ZAF;1976.0;54.9530302554274
Trade (% of GDP);NE.TRD.GNFS.ZS;Brazil;BRA;1977.0;15.1701161077981
Trade (% of GDP);NE.TRD.GNFS.ZS;China;CHN;1977.0;8.38461538461539
Trade (% of GDP);NE.TRD.GNFS.ZS;India;IND;1977.0;12.6481011377209
Trade (% of GDP);NE.TRD.GNFS.ZS;Russian Federation;RUS;1977.0;
Trade (% of GDP);NE.TRD.GNFS.ZS;South Africa;ZAF;1977.0;53.7582392712665
Trade (% of GDP);NE.TRD.GNFS.ZS;Brazil;BRA;1978.0;14.5399732261263
Trade (% of GDP);NE.TRD.GNFS.ZS;China;CHN;1978.0;9.65014154062668
Trade (% of GDP);NE.TRD.GNFS.ZS;India;IND;1978.0;12.9030118429794
Trade (% of GDP);NE.TRD.GNFS.ZS;Russian Federation;RUS;1978.0;
Trade (% of GDP);NE.TRD.GNFS.ZS;South Africa;ZAF;1978.0;56.2581502349728
Trade (% of GDP);NE.TRD.GNFS.ZS;Brazil;BRA;1979.0;16.2994727376357
Trade (% of GDP);NE.TRD.GNFS.ZS;China;CHN;1979.0;11.0865781306023
Trade (% of GDP);NE.TRD.GNFS.ZS;India;IND;1979.0;14.9188045314645
