SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Brazil;BRA;1970.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;China;CHN;1970.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;India;IND;1970.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Russian Federation;RUS;1970.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;South Africa;ZAF;1970.0;44.3493150684932
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Brazil;BRA;1971.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;China;CHN;1971.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;India;IND;1971.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Russian Federation;RUS;1971.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;South Africa;ZAF;1971.0;44.1031318337879
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Brazil;BRA;1972.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;China;CHN;1972.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;India;IND;1972.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Russian Federation;RUS;1972.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;South Africa;ZAF;1972.0;38.7984454379223
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Brazil;BRA;1973.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;China;CHN;1973.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;India;IND;1973.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Russian Federation;RUS;1973.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;South Africa;ZAF;1973.0;41.1935632497841
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Brazil;BRA;1974.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;China;CHN;1974.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;India;IND;1974.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Russian Federation;RUS;1974.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;South Africa;ZAF;1974.0;47.8755638827026
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Brazil;BRA;1975.0;56.8290734824281
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;China;CHN;1975.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;India;IND;1975.0;69.2740567876928
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Russian Federation;RUS;1975.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;South Africa;ZAF;1975.0;41.4210303813625
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Brazil;BRA;1976.0;56.1275451402228
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;China;CHN;1976.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;India;IND;1976.0;61.9891864905879
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Russian Federation;RUS;1976.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;South Africa;ZAF;1976.0;38.3396226415094
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Brazil;BRA;1977.0;54.171142141067
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;China;CHN;1977.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;India;IND;1977.0;61.8323584763784
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Russian Federation;RUS;1977.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;South Africa;ZAF;1977.0;31.8036966220523
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Brazil;BRA;1978.0;51.3662979830839
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;China;CHN;1978.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;India;IND;1978.0;64.0004094884969
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Russian Federation;RUS;1978.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;South Africa;ZAF;1978.0;31.6220644456581
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Brazil;BRA;1979.0;55.1460910765991
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;China;CHN;1979.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;India;IND;1979.0;60.5617209849943
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Russian Federation;RUS;1979.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;South Africa;ZAF;1979.0;35.4916066867724
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Brazil;BRA;1980.0;56.45657975775
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;China;CHN;1980.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;India;IND;1980.0;59.9762338594386
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Russian Federation;RUS;1980.0;
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;South Africa;ZAF;1980.0;39.128974643968
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;Brazil;BRA;1981.0;54.0871934604905
Transport services (% of service imports, BoP);BM.GSR.TRAN.ZS;China;CHN;1981.0;
