SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1970.0;10592340807.4983
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1970.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1970.0;153275645991.37
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1970.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1970.0;25611000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1971.0;12218102344.2062
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1971.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1971.0;203438009560.2
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1971.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1971.0;27411000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1972.0;14260320386.5424
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1972.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1972.0;57584303378.77
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1972.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1972.0;-9925000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1973.0;17253657374.7383
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1973.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1973.0;209467564013.45
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1973.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1973.0;6003000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1974.0;19541254435.0799
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1974.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1974.0;263952949921.93
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1974.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1974.0;27859000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1975.0;21443467423.7889
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1975.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1975.0;38531136878.84
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1975.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1975.0;10428000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1976.0;22950342288.9028
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1976.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1976.0;135093888162.64
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1976.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1976.0;-15132000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1977.0;22681677246.5835
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1977.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1977.0;199963766403.37
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1977.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1977.0;-13086000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1978.0;23758532285.9802
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1978.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1978.0;386353360689.48
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1978.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1978.0;-12477000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1979.0;24681713773.7069
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1979.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1979.0;275775893549.66
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1979.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1979.0;-1209999999.99997
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1980.0;26945397830.9727
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1980.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1980.0;17822377573.12
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1980.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1980.0;33350000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1981.0;23606766980.4874
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1981.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1981.0;418949654496.46
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1981.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1981.0;39596000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1982.0;22019658676.933
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1982.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1982.0;317131241474.98
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1982.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1982.0;-23314000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1983.0;18474853463.4475
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1983.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1983.0;132890587417.91
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1983.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1983.0;-3421000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1984.0;18702931343.9244
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1984.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1984.0;308549666321.89
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1984.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1984.0;1155000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1985.0;20347039260.8317
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1985.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1985.0;484402278079.94
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1985.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1985.0;-30607000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1986.0;25022797030.5932
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1986.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1986.0;376555425589.86
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1986.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1986.0;-11777000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1987.0;24737668130.7135
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1987.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1987.0;106710556924.19
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1987.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1987.0;-8848000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1988.0;23540227722.6014
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1988.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1988.0;429263724923.97
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1988.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1988.0;7538000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1989.0;23825331692.1197
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1989.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1989.0;285212420721.81
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1989.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1989.0;-387000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1990.0;21896121351.0209
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1990.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1990.0;267504528072.47
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1990.0;12067962767045.1
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1990.0;-22647000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1991.0;23666162500.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1991.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1991.0;-31815133900.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1991.0;16589200694202.3
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1991.0;-6323000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1992.0;22099209800.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1992.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1992.0;325548905700.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Russian Federation;RUS;1992.0;11880887135010.8
Changes in inventories (constant LCU);NE.GDI.STKB.KN;South Africa;ZAF;1992.0;-7875000000.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;Brazil;BRA;1993.0;23497148200.0
Changes in inventories (constant LCU);NE.GDI.STKB.KN;China;CHN;1993.0;
Changes in inventories (constant LCU);NE.GDI.STKB.KN;India;IND;1993.0;-67765066800.0
