SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Brazil;BRA;1970.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;China;CHN;1970.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;India;IND;1970.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Russian Federation;RUS;1970.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;South Africa;ZAF;1970.0;4199998.32168067
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Brazil;BRA;1971.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;China;CHN;1971.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;India;IND;1971.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Russian Federation;RUS;1971.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;South Africa;ZAF;1971.0;6985476.14225652
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Brazil;BRA;1972.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;China;CHN;1972.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;India;IND;1972.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Russian Federation;RUS;1972.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;South Africa;ZAF;1972.0;10251867.9728003
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Brazil;BRA;1973.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;China;CHN;1973.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;India;IND;1973.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Russian Federation;RUS;1973.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;South Africa;ZAF;1973.0;5773073.19604799
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Brazil;BRA;1974.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;China;CHN;1974.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;India;IND;1974.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Russian Federation;RUS;1974.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;South Africa;ZAF;1974.0;7377986.34929872
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Brazil;BRA;1975.0;134000000.0
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;China;CHN;1975.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;India;IND;1975.0;0.0
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Russian Federation;RUS;1975.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;South Africa;ZAF;1975.0;8305088.20645571
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Brazil;BRA;1976.0;131000000.0
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;China;CHN;1976.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;India;IND;1976.0;111523.92688918
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Russian Federation;RUS;1976.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;South Africa;ZAF;1976.0;10349999.991
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Brazil;BRA;1977.0;127000000.0
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;China;CHN;1977.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;India;IND;1977.0;113459.994886484
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Russian Federation;RUS;1977.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;South Africa;ZAF;1977.0;10349999.991
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Brazil;BRA;1978.0;159000000.0
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;China;CHN;1978.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;India;IND;1978.0;0.0
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Russian Federation;RUS;1978.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;South Africa;ZAF;1978.0;9199999.992
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Brazil;BRA;1979.0;11000000.0
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;China;CHN;1979.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;India;IND;1979.0;0.0
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Russian Federation;RUS;1979.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;South Africa;ZAF;1979.0;11892085.2724528
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Brazil;BRA;1980.0;12000000.0
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;China;CHN;1980.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;India;IND;1980.0;0.0
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Russian Federation;RUS;1980.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;South Africa;ZAF;1980.0;16688942.5017713
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Brazil;BRA;1981.0;19000000.0
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;China;CHN;1981.0;
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;India;IND;1981.0;111305.389516412
Charges for the use of intellectual property, receipts (BoP, current US$);BX.GSR.ROYL.CD;Russian Federation;RUS;1981.0;
