SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Brazil;BRA;1970.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;China;CHN;1970.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;India;IND;1970.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Russian Federation;RUS;1970.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;South Africa;ZAF;1970.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Brazil;BRA;1971.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;China;CHN;1971.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;India;IND;1971.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Russian Federation;RUS;1971.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;South Africa;ZAF;1971.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Brazil;BRA;1972.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;China;CHN;1972.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;India;IND;1972.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Russian Federation;RUS;1972.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;South Africa;ZAF;1972.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Brazil;BRA;1973.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;China;CHN;1973.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;India;IND;1973.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Russian Federation;RUS;1973.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;South Africa;ZAF;1973.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Brazil;BRA;1974.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;China;CHN;1974.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;India;IND;1974.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Russian Federation;RUS;1974.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;South Africa;ZAF;1974.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Brazil;BRA;1975.0;18.5348100744542
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;China;CHN;1975.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;India;IND;1975.0;13.8880238001686
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Russian Federation;RUS;1975.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;South Africa;ZAF;1975.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Brazil;BRA;1976.0;18.86493461668
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;China;CHN;1976.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;India;IND;1976.0;16.8863022716248
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Russian Federation;RUS;1976.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;South Africa;ZAF;1976.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Brazil;BRA;1977.0;21.9646288119911
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;China;CHN;1977.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;India;IND;1977.0;14.5944441988572
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Russian Federation;RUS;1977.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;South Africa;ZAF;1977.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Brazil;BRA;1978.0;31.893832092622
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;China;CHN;1978.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;India;IND;1978.0;14.2162364258735
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Russian Federation;RUS;1978.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;South Africa;ZAF;1978.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Brazil;BRA;1979.0;36.8181405550617
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;China;CHN;1979.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;India;IND;1979.0;10.695918182962
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Russian Federation;RUS;1979.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;South Africa;ZAF;1979.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Brazil;BRA;1980.0;35.1672736975295
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;China;CHN;1980.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;India;IND;1980.0;9.27104075857953
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Russian Federation;RUS;1980.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;South Africa;ZAF;1980.0;
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;Brazil;BRA;1981.0;34.5159957653308
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;China;CHN;1981.0;
