SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Brazil;BRA;1970.0;7.02943634908589
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;China;CHN;1970.0;2.49155590647892
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;India;IND;1970.0;3.78282506203901
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Russian Federation;RUS;1970.0;
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;South Africa;ZAF;1970.0;21.1994527211919
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Brazil;BRA;1971.0;6.41330674313925
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;China;CHN;1971.0;2.78806626236314
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;India;IND;1971.0;3.66720521708832
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Russian Federation;RUS;1971.0;
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;South Africa;ZAF;1971.0;21.2748401292718
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Brazil;BRA;1972.0;7.259175691336
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;China;CHN;1972.0;3.24792352295878
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;India;IND;1972.0;4.02748926158673
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Russian Federation;RUS;1972.0;
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;South Africa;ZAF;1972.0;24.631502009989
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Brazil;BRA;1973.0;8.27167782462644
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;China;CHN;1973.0;4.24134678180103
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;India;IND;1973.0;4.20876319232271
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Russian Federation;RUS;1973.0;
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;South Africa;ZAF;1973.0;24.6237088047221
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Brazil;BRA;1974.0;8.01311941176138
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;China;CHN;1974.0;4.92980160554514
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;India;IND;1974.0;4.83132100338351
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Russian Federation;RUS;1974.0;
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;South Africa;ZAF;1974.0;27.1611355457817
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Brazil;BRA;1975.0;7.53857281945099
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;China;CHN;1975.0;4.70472117124527
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;India;IND;1975.0;5.64706215784259
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Russian Federation;RUS;1975.0;
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;South Africa;ZAF;1975.0;26.8431136024977
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;Brazil;BRA;1976.0;7.03571355665957
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;China;CHN;1976.0;4.51047313123201
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;India;IND;1976.0;6.68651286170258
