SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1970.0;2975391707.00149
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1970.0;2307254854.17174
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1970.0;2361333333.33333
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1970.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1970.0;3904598439.72246
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1971.0;3155632739.4951
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1971.0;2782516857.58388
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1971.0;2469898946.46313
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1971.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1971.0;4325960319.7214
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1972.0;4249449495.7691
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1972.0;3692485858.09095
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1972.0;2878172457.50653
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1972.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1972.0;5260657259.99935
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1973.0;6557708237.89377
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1973.0;5876143560.87263
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1973.0;3599135190.13099
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1973.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1973.0;7213681633.79544
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1974.0;8424673828.03794
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1974.0;7107893126.65715
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1974.0;4808415667.78675
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1974.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1974.0;9997395002.78419
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1975.0;9325921437.05926
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1975.0;7688998817.07711
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1975.0;5560820024.49904
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1975.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1975.0;10231130026.4433
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1976.0;10741988183.0392
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1976.0;6943442876.27485
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1976.0;6868196413.18819
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1976.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1976.0;9840549991.443
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1977.0;12776590678.7557
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1977.0;7519646894.17591
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1977.0;7754744525.54745
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1977.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1977.0;11913999989.64
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1978.0;13404621904.9098
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1978.0;6813008130.0813
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1978.0;8670273695.49852
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1978.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1978.0;14669399987.244
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1979.0;16026612550.3001
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1979.0;9204347826.08696
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1979.0;10326383041.9494
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1979.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1979.0;19695433307.717
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1980.0;21276141967.6084
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1980.0;11300000000.0
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1980.0;11439539833.7726
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1980.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1980.0;28496454297.965
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1981.0;24828388398.9376
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1981.0;14587301587.3016
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1981.0;11485654131.2966
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1981.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1981.0;23474811206.4458
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1982.0;21435129573.2899
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1982.0;22600124795.19
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1982.0;12009388988.7104
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1982.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1982.0;20090884048.0371
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1983.0;23221079048.8769
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1983.0;21956304449.37
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1983.0;12741342694.5045
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1983.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1983.0;20941567188.9735
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1984.0;28317692072.5525
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1984.0;24764305080.89
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1984.0;13330753440.7915
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1984.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1984.0;19094712692.8823
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1985.0;27305943051.3526
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1985.0;25801403273.95
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1985.0;12217464494.0919
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1985.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1985.0;17986023090.1732
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1986.0;23640556197.1808
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1986.0;26202580690.47
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1986.0;12937864153.5995
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1986.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1986.0;19987469176.5746
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1987.0;27820190044.6057
Exports of goods and services (current US$);NE.EXP.GNFS.CD;China;CHN;1987.0;34072853910.0
Exports of goods and services (current US$);NE.EXP.GNFS.CD;India;IND;1987.0;15638662913.9839
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Russian Federation;RUS;1987.0;
Exports of goods and services (current US$);NE.EXP.GNFS.CD;South Africa;ZAF;1987.0;25959791097.0679
Exports of goods and services (current US$);NE.EXP.GNFS.CD;Brazil;BRA;1988.0;35974382968.3631
