SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;Brazil;BRA;1970.0;-0.0002970001
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;China;CHN;1970.0;70000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;India;IND;1970.0;-450000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;Russian Federation;RUS;1970.0;
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;South Africa;ZAF;1970.0;-452000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;Brazil;BRA;1971.0;-0.001631
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;China;CHN;1971.0;1610000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;India;IND;1971.0;-1680000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;Russian Federation;RUS;1971.0;
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;South Africa;ZAF;1971.0;-593000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;Brazil;BRA;1972.0;-0.0020009996
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;China;CHN;1972.0;1890000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;India;IND;1972.0;1760000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;Russian Federation;RUS;1972.0;
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;South Africa;ZAF;1972.0;404000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;Brazil;BRA;1973.0;-0.0021710004
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;China;CHN;1973.0;1330000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;India;IND;1973.0;-3460000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;Russian Federation;RUS;1973.0;
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;South Africa;ZAF;1973.0;513000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;Brazil;BRA;1974.0;-0.0152319986
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;China;CHN;1974.0;-1340000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;India;IND;1974.0;-9440000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;Russian Federation;RUS;1974.0;
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;South Africa;ZAF;1974.0;-136999999.999999
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;Brazil;BRA;1975.0;-0.0144960005
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;China;CHN;1975.0;-440000000.0
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;India;IND;1975.0;-8520000000.0
