SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
GDP per capita (current US$);NY.GDP.PCAP.CD;Brazil;BRA;1970.0;445.02310059739
GDP per capita (current US$);NY.GDP.PCAP.CD;China;CHN;1970.0;113.162991554686
GDP per capita (current US$);NY.GDP.PCAP.CD;India;IND;1970.0;112.434493490322
GDP per capita (current US$);NY.GDP.PCAP.CD;Russian Federation;RUS;1970.0;
GDP per capita (current US$);NY.GDP.PCAP.CD;South Africa;ZAF;1970.0;834.552767550078
GDP per capita (current US$);NY.GDP.PCAP.CD;Brazil;BRA;1971.0;504.749516124995
GDP per capita (current US$);NY.GDP.PCAP.CD;China;CHN;1971.0;118.654577785346
GDP per capita (current US$);NY.GDP.PCAP.CD;India;IND;1971.0;118.603242102118
GDP per capita (current US$);NY.GDP.PCAP.CD;Russian Federation;RUS;1971.0;
GDP per capita (current US$);NY.GDP.PCAP.CD;South Africa;ZAF;1971.0;897.129856305489
GDP per capita (current US$);NY.GDP.PCAP.CD;Brazil;BRA;1972.0;586.214404973525
GDP per capita (current US$);NY.GDP.PCAP.CD;China;CHN;1972.0;131.883561243868
GDP per capita (current US$);NY.GDP.PCAP.CD;India;IND;1972.0;122.981863898262
GDP per capita (current US$);NY.GDP.PCAP.CD;Russian Federation;RUS;1972.0;
GDP per capita (current US$);NY.GDP.PCAP.CD;South Africa;ZAF;1972.0;917.356209419696
GDP per capita (current US$);NY.GDP.PCAP.CD;Brazil;BRA;1973.0;775.273300345189
GDP per capita (current US$);NY.GDP.PCAP.CD;China;CHN;1973.0;157.090374298657
GDP per capita (current US$);NY.GDP.PCAP.CD;India;IND;1973.0;143.778688096538
GDP per capita (current US$);NY.GDP.PCAP.CD;Russian Federation;RUS;1973.0;
GDP per capita (current US$);NY.GDP.PCAP.CD;South Africa;ZAF;1973.0;1225.08900721551
GDP per capita (current US$);NY.GDP.PCAP.CD;Brazil;BRA;1974.0;1004.10491009099
GDP per capita (current US$);NY.GDP.PCAP.CD;China;CHN;1974.0;160.140093727686
GDP per capita (current US$);NY.GDP.PCAP.CD;India;IND;1974.0;163.478111157501
GDP per capita (current US$);NY.GDP.PCAP.CD;Russian Federation;RUS;1974.0;
GDP per capita (current US$);NY.GDP.PCAP.CD;South Africa;ZAF;1974.0;1499.14106806266
GDP per capita (current US$);NY.GDP.PCAP.CD;Brazil;BRA;1975.0;1153.8309583695
GDP per capita (current US$);NY.GDP.PCAP.CD;China;CHN;1975.0;178.341819608096
GDP per capita (current US$);NY.GDP.PCAP.CD;India;IND;1975.0;158.036171764282
GDP per capita (current US$);NY.GDP.PCAP.CD;Russian Federation;RUS;1975.0;
GDP per capita (current US$);NY.GDP.PCAP.CD;South Africa;ZAF;1975.0;1512.77078488392
GDP per capita (current US$);NY.GDP.PCAP.CD;Brazil;BRA;1976.0;1390.62497537665
GDP per capita (current US$);NY.GDP.PCAP.CD;China;CHN;1976.0;165.40554037242
GDP per capita (current US$);NY.GDP.PCAP.CD;India;IND;1976.0;161.092091731697
GDP per capita (current US$);NY.GDP.PCAP.CD;Russian Federation;RUS;1976.0;
GDP per capita (current US$);NY.GDP.PCAP.CD;South Africa;ZAF;1976.0;1416.7089305868
GDP per capita (current US$);NY.GDP.PCAP.CD;Brazil;BRA;1977.0;1567.00618230231
GDP per capita (current US$);NY.GDP.PCAP.CD;China;CHN;1977.0;185.422832913673
GDP per capita (current US$);NY.GDP.PCAP.CD;India;IND;1977.0;186.213501325277
