SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Brazil,BRA,1970,96529098145.3019,,,96529098145.3019
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,China,CHN,1970,0.0,-100.0,,96529098145.3019
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,India,IND,1970,19258255567.0772,inf,,115787353712.37909
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Russian Federation,RUS,1970,0.0,-100.0,,115787353712.37909
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,South Africa,ZAF,1970,18938561984.3742,inf,26945183139.35066,134725915696.7533
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Brazil,BRA,1971,105122241142.473,455.0698159089751,28663811738.78488,239848156839.22632
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,China,CHN,1971,0.0,-100.0,28663811738.78488,239848156839.22632
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,India,IND,1971,21145908291.4477,inf,29041342283.658978,260994065130.674
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Russian Federation,RUS,1971,0.0,-100.0,29041342283.658978,260994065130.674
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,South Africa,ZAF,1971,20443916297.8747,inf,29342413146.35908,281437981428.5487
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Brazil,BRA,1972,114093960466.536,458.08270198404665,31136757011.17168,395531941895.0847
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,China,CHN,1972,0.0,-100.0,31136757011.17168,395531941895.0847
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,India,IND,1972,21348585059.0545,inf,31177292364.693043,416880526954.1392
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Russian Federation,RUS,1972,0.0,-100.0,31177292364.693043,416880526954.1392
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,South Africa,ZAF,1972,20351445118.2866,inf,31158798128.77542,437231972072.42584
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Brazil,BRA,1973,128098852238.508,529.4336912881238,33959776483.16982,565330824310.9338
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,China,CHN,1973,0.0,-100.0,33959776483.16982,565330824310.9338
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,India,IND,1973,21318612149.2593,inf,33953781901.210777,586649436460.1931
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Russian Federation,RUS,1973,0.0,-100.0,33953781901.210777,586649436460.1931
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,South Africa,ZAF,1973,21247336502.2128,inf,34132960177.99602,607896772962.4059
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Brazil,BRA,1974,128331727106.953,503.9897146335868,34179535151.68502,736228500069.3589
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,China,CHN,1974,0.0,-100.0,34179535151.68502,736228500069.3589
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,India,IND,1974,20522155333.2448,inf,34020243788.482124,756750655402.6036
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Russian Federation,RUS,1974,0.0,-100.0,34020243788.482124,756750655402.6036
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,South Africa,ZAF,1974,22891602469.5405,inf,34349096981.947662,779642257872.1442
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Brazil,BRA,1975,147784089492.708,545.582106754427,38239569459.09866,927426347364.8522
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,China,CHN,1975,0.0,-100.0,38239569459.09866,927426347364.8522
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,India,IND,1975,22504347348.9889,inf,38636007862.24748,949930694713.8411
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Russian Federation,RUS,1975,0.0,-100.0,38636007862.24748,949930694713.8411
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,South Africa,ZAF,1975,25661776757.9086,inf,39190042719.9211,975592471471.7496
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Brazil,BRA,1976,159164252458.644,520.238629461196,41466075313.1083,1134756723930.3936
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,China,CHN,1976,0.0,-100.0,41466075313.1083,1134756723930.3936
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,India,IND,1976,24189160758.7724,inf,41803037995.065,1158945884689.166
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Russian Federation,RUS,1976,0.0,-100.0,41803037995.065,1158945884689.166
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,South Africa,ZAF,1976,27072611047.3693,inf,42085204852.95714,1186018495736.5354
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Brazil,BRA,1977,150435787426.787,455.67520681166485,40339511846.58574,1336454283163.3223
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,China,CHN,1977,0.0,-100.0,40339511846.58574,1336454283163.3223
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,India,IND,1977,25016306953.77,inf,40504941085.58525,1361470590117.0923
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Russian Federation,RUS,1977,0.0,-100.0,40504941085.58525,1361470590117.0923
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,South Africa,ZAF,1977,28109736108.8346,inf,40712366097.87832,1389580326225.927
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Brazil,BRA,1978,158661562369.744,464.4363282367432,42357521086.46971,1548241888595.671
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,China,CHN,1978,0.0,-100.0,42357521086.46971,1548241888595.671
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,India,IND,1978,26867238945.7358,inf,42727707484.86288,1575109127541.4067
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Russian Federation,RUS,1978,0.0,-100.0,42727707484.86288,1575109127541.4067
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,South Africa,ZAF,1978,28298502977.654,inf,42765460858.626755,1603407630519.0608
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,Brazil,BRA,1979,171612913166.545,506.4381331481021,45355731017.98695,1775020543685.6057
