SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Brazil,BRA,1970,441242321530.974,,,441242321530.974
GNI (constant 2010 US$),NY.GNP.MKTP.KD,China,CHN,1970,0.0,-100.0,,441242321530.974
GNI (constant 2010 US$),NY.GNP.MKTP.KD,India,IND,1970,218607712840.205,inf,,659850034371.179
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Russian Federation,RUS,1970,0.0,-100.0,,659850034371.179
GNI (constant 2010 US$),NY.GNP.MKTP.KD,South Africa,ZAF,1970,133928040774.181,inf,158755615029.072,793778075145.36
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Brazil,BRA,1971,492825480368.526,267.97781668402797,169072246796.5824,1286603555513.886
GNI (constant 2010 US$),NY.GNP.MKTP.KD,China,CHN,1971,0.0,-100.0,169072246796.5824,1286603555513.886
GNI (constant 2010 US$),NY.GNP.MKTP.KD,India,IND,1971,222255524957.464,inf,169801809220.0342,1508859080471.35
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Russian Federation,RUS,1971,0.0,-100.0,169801809220.0342,1508859080471.35
GNI (constant 2010 US$),NY.GNP.MKTP.KD,South Africa,ZAF,1971,140149675245.218,inf,171046136114.2416,1649008755716.568
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Brazil,BRA,1972,553662436988.159,295.0508169351255,183213527438.1682,2202671192704.727
GNI (constant 2010 US$),NY.GNP.MKTP.KD,China,CHN,1972,0.0,-100.0,183213527438.1682,2202671192704.727
GNI (constant 2010 US$),NY.GNP.MKTP.KD,India,IND,1972,221073376977.673,inf,182977097842.21002,2423744569682.4
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Russian Federation,RUS,1972,0.0,-100.0,182977097842.21002,2423744569682.4
GNI (constant 2010 US$),NY.GNP.MKTP.KD,South Africa,ZAF,1972,142270028582.473,inf,183401168509.661,2566014598264.873
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Brazil,BRA,1973,628983311542.643,342.10528233501094,198465343420.5578,3194997909807.516
GNI (constant 2010 US$),NY.GNP.MKTP.KD,China,CHN,1973,0.0,-100.0,198465343420.5578,3194997909807.516
GNI (constant 2010 US$),NY.GNP.MKTP.KD,India,IND,1973,228492747513.651,inf,199949217527.7534,3423490657321.167
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Russian Federation,RUS,1973,0.0,-100.0,199949217527.7534,3423490657321.167
GNI (constant 2010 US$),NY.GNP.MKTP.KD,South Africa,ZAF,1973,148618894546.661,inf,201218990720.591,3572109551867.828
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Brazil,BRA,1974,688479182280.91,363.25144886927706,213118164868.24442,4260588734148.7383
GNI (constant 2010 US$),NY.GNP.MKTP.KD,China,CHN,1974,0.0,-100.0,213118164868.24442,4260588734148.7383
GNI (constant 2010 US$),NY.GNP.MKTP.KD,India,IND,1974,231502312694.622,inf,213720077904.43863,4492091046843.36
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Russian Federation,RUS,1974,0.0,-100.0,213720077904.43863,4492091046843.36
GNI (constant 2010 US$),NY.GNP.MKTP.KD,South Africa,ZAF,1974,157333001099.678,inf,215462899215.04202,4649424047943.038
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Brazil,BRA,1975,720336979262.617,357.84226718350646,221834458611.3834,5369761027205.655
GNI (constant 2010 US$),NY.GNP.MKTP.KD,China,CHN,1975,0.0,-100.0,221834458611.3834,5369761027205.655
GNI (constant 2010 US$),NY.GNP.MKTP.KD,India,IND,1975,252859659738.533,inf,226105928020.1656,5622620686944.188
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Russian Federation,RUS,1975,0.0,-100.0,226105928020.1656,5622620686944.188
GNI (constant 2010 US$),NY.GNP.MKTP.KD,South Africa,ZAF,1975,159351881720.981,inf,226509704144.42618,5781972568665.17
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Brazil,BRA,1976,789266013290.198,395.2975796496538,240295510949.94238,6571238581955.368
GNI (constant 2010 US$),NY.GNP.MKTP.KD,China,CHN,1976,0.0,-100.0,240295510949.94238,6571238581955.368
GNI (constant 2010 US$),NY.GNP.MKTP.KD,India,IND,1976,257137092649.867,inf,241150997532.20917,6828375674605.235
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Russian Federation,RUS,1976,0.0,-100.0,241150997532.20917,6828375674605.235
GNI (constant 2010 US$),NY.GNP.MKTP.KD,South Africa,ZAF,1976,162957441774.592,inf,241872109542.9314,6991333116379.827
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Brazil,BRA,1977,824239076402.594,405.8002061315543,248866722165.41058,7815572192782.421
GNI (constant 2010 US$),NY.GNP.MKTP.KD,China,CHN,1977,0.0,-100.0,248866722165.41058,7815572192782.421
GNI (constant 2010 US$),NY.GNP.MKTP.KD,India,IND,1977,275865298440.643,inf,252612363323.56583,8091437491223.063
